Package,License,maintainer,DOI,authorItem,Descr_lang,Descr
esetVis,GPL-3,Laure Cougnaud,10.18129/B9.BIOC.ESETVIS,,,
eudysbiome,GPL-2,Xiaoyuan Zhou,10.18129/B9.BIOC.EUDYSBIOME,Q89074957,en,researcher (ORCID 0000-0002-0930-1278)
evaluomeR,GPL-3,José Antonio Bernabé-Díaz,10.18129/B9.BIOC.EVALUOMER,,,
ExCluster,GPL-3,R. Matthew Tanner,10.18129/B9.BIOC.EXCLUSTER,,,
ExiMiR,GPL-2,Sylvain Gubian,10.18129/B9.BIOC.EXIMIR,,,
exomeCopy,GPL (>= 2),Michael Love,10.18129/B9.BIOC.EXOMECOPY,Q50556919,en,researcher
exomePeak2,Artistic-2.0,Zhen Wei,10.18129/B9.BIOC.EXOMEPEAK2,Q61940007,en,researcher ORCID ID = 0000-0002-1760-8878
ExperimentHub,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.EXPERIMENTHUB,,,
ExperimentHubData,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.EXPERIMENTHUBDATA,,,
ExperimentSubset,MIT,Irzam Sarfraz,10.18129/B9.BIOC.EXPERIMENTSUBSET,,,
ExploreModelMatrix,MIT,Charlotte Soneson,10.18129/B9.BIOC.EXPLOREMODELMATRIX,Q43290839,en,researcher
ExpressionAtlas,GPL (>= 3),Pedro Madrigal,10.18129/B9.BIOC.EXPRESSIONATLAS,Q30504999,en,Computational biologist
extraChIPs,GPL-3,Stephen Pederson,10.18129/B9.BIOC.EXTRACHIPS,Q61727562,en,researcher ORCID ID = 0000-0001-8197-3303
fabia,LGPL (>= 2.1),Andreas Mitterecker,10.18129/B9.BIOC.FABIA,Q96766980,en,researcher
factDesign,LGPL (>= 2.1),Denise Scholtens,10.18129/B9.BIOC.FACTDESIGN,Q96581058,en,researcher
famat,GPL-3,Mathieu Charles,10.18129/B9.BIOC.FAMAT,Q52184215,,
farms,LGPL (>= 2.1),Djork-Arne Clevert,10.18129/B9.BIOC.FARMS,Q59559864,en,researcher ORCID ID = 0000-0003-4191-2156
fastLiquidAssociation,GPL-2,Tina Gunderson,10.18129/B9.BIOC.FASTLIQUIDASSOCIATION,Q86693010,en,researcher
FastqCleaner,MIT,Leandro Roser,10.18129/B9.BIOC.FASTQCLEANER,,,
fastreeR,GPL-3,Anestis Gkanogiannis,10.18129/B9.BIOC.FASTREER,,,
FCBF,MIT,Tiago Lubiana,10.18129/B9.BIOC.FCBF,Q90076935,en,researcher
fCI,GPL (>= 2),Shaojun Tang,10.18129/B9.BIOC.FCI,Q103362474,en,Ph.D. Wuhan University 2018
fcoex,GPL-3,Tiago Lubiana,10.18129/B9.BIOC.FCOEX,Q90076935,en,researcher
fcScan,Artistic-2.0,Pierre Khoueiry,10.18129/B9.BIOC.FCSCAN,Q51909397,en,researcher
fdrame,GPL (>= 2),Effi Kenigsberg,10.18129/B9.BIOC.FDRAME,,,
FEAST,GPL-2,Kenong Su,10.18129/B9.BIOC.FEAST,,,
fedup,MIT,Catherine Ross,10.18129/B9.BIOC.FEDUP,,,
fgga,GPL-3,Spetale Flavio,10.18129/B9.BIOC.FGGA,,,
FilterFFPE,LGPL (>= 2.1),Lanying Wei,10.18129/B9.BIOC.FILTERFFPE,,,
FISHalyseR,Artistic-2.0,Karesh Arunakirinathan,10.18129/B9.BIOC.FISHALYSER,,,
FitHiC,GPL (>= 2),Ruyu Tan,10.18129/B9.BIOC.FITHIC,,,
flagme,LGPL (>= 2.1),Mark Robinson,10.18129/B9.BIOC.FLAGME,Q37391287,en,researcher
FLAMES,GPL (>= 2),Voogd Oliver,10.18129/B9.BIOC.FLAMES,,,
flowBeads,Artistic-2.0,Nikolas Pontikos,10.18129/B9.BIOC.FLOWBEADS,Q55718209,en,researcher
flowBin,Artistic-2.0,Kieran O'Neill,10.18129/B9.BIOC.FLOWBIN,Q37379978,en,researcher
flowcatchR,BSD_3_clause,Federico Marini,10.18129/B9.BIOC.FLOWCATCHR,Q43198520,en,researcher ORCID: 0000-0001-8266-1117
flowCHIC,GPL-2,Author: Joachim Schumann,10.18129/B9.BIOC.FLOWCHIC,,,
flowCL,Artistic-2.0,Justin Meskas,10.18129/B9.BIOC.FLOWCL,,,
flowClean,Artistic-2.0,Kipper Fletez-Brant,10.18129/B9.BIOC.FLOWCLEAN,Q62816451,en,researcher
flowClust,Artistic-2.0,Greg Finak,10.18129/B9.BIOC.FLOWCLUST,Q55364287,en,researcher
flowCore,Artistic-2.0,Mike Jiang,10.18129/B9.BIOC.FLOWCORE,,,
flowCut,Artistic-2.0,Justin Meskas,10.18129/B9.BIOC.FLOWCUT,,,
flowCyBar,GPL-2,Joachim Schumann,10.18129/B9.BIOC.FLOWCYBAR,,,
flowDensity,Artistic-2.0,Mehrnoush Malek,10.18129/B9.BIOC.FLOWDENSITY,,,
flowFP,Artistic-2.0,Herb Holyst,10.18129/B9.BIOC.FLOWFP,,,
flowGraph,Artistic-2.0,Alice Yue,10.18129/B9.BIOC.FLOWGRAPH,Q57081028,en,researcher
flowMap,GPL (>= 2),Chiaowen Joyce Hsiao,10.18129/B9.BIOC.FLOWMAP,Q87647055,en,researcher
flowMatch,Artistic-2.0,Ariful Azad,10.18129/B9.BIOC.FLOWMATCH,Q103035626,en,Ph.D. Purdue University 2014
flowMeans,Artistic-2.0,Nima Aghaeepour,10.18129/B9.BIOC.FLOWMEANS,Q97905004,en,researcher
flowMerge,Artistic-2.0,Greg Finak,10.18129/B9.BIOC.FLOWMERGE,Q55364287,en,researcher
flowPeaks,Artistic-1.0,Yongchao Ge,10.18129/B9.BIOC.FLOWPEAKS,Q102263097,en,"Ph.D. University of California, Berkeley 2003"
flowPlots,Artistic-2.0,N. Hawkins,10.18129/B9.BIOC.FLOWPLOTS,,,
FlowSOM,GPL (>= 2),Sofie Van Gassen,10.18129/B9.BIOC.FLOWSOM,Q56489658,en,researcher
flowSpecs,MIT,Jakob Theorell,10.18129/B9.BIOC.FLOWSPECS,Q92198238,en,researcher (ORCID 0000-0001-8752-3151)
flowStats,Artistic-2.0,Greg Finak,10.18129/B9.BIOC.FLOWSTATS,Q55364287,en,researcher
flowTime,Artistic-2.0,R. Clay Wright,10.18129/B9.BIOC.FLOWTIME,Q83940147,en,researcher
flowTrans,Artistic-2.0,Greg Finak,10.18129/B9.BIOC.FLOWTRANS,Q55364287,en,researcher
flowUtils,Artistic-2.0,Josef Spidlen,10.18129/B9.BIOC.FLOWUTILS,Q91525462,en,researcher (ORCID 0000-0002-9710-1910)
flowViz,Artistic-2.0,Mike Jiang,10.18129/B9.BIOC.FLOWVIZ,,,
flowVS,Artistic-2.0,Ariful Azad,10.18129/B9.BIOC.FLOWVS,Q103035626,en,Ph.D. Purdue University 2014
fmcsR,Artistic-2.0,Thomas Girke,10.18129/B9.BIOC.FMCSR,Q55473652,en,researcher
fmrs,GPL-3,Farhad Shokoohi,10.18129/B9.BIOC.FMRS,Q91246619,en,researcher (ORCID 0000-0002-6224-2609)
FRASER,MIT,Christian Mertes,10.18129/B9.BIOC.FRASER,Q55718281,en,researcher
frenchFISH,Artistic-2.0,Adam Berman,10.18129/B9.BIOC.FRENCHFISH,Q89260027,en,researcher
FRGEpistasis,GPL-2,Futao Zhang,10.18129/B9.BIOC.FRGEPISTASIS,Q57638791,en,researcher ORCID ID = 0000-0002-6043-1756
frma,GPL (>= 2),Matthew N. McCall,10.18129/B9.BIOC.FRMA,,,
frmaTools,GPL (>= 2),Matthew N. McCall,10.18129/B9.BIOC.FRMATOOLS,,,
FScanR,Artistic-2.0,Xiao Chen,10.18129/B9.BIOC.FSCANR,Q54409574,en,researcher (ORCID 0000-0002-4438-5286)
FunChIP,Artistic-2.0,Alice Parodi,10.18129/B9.BIOC.FUNCHIP,,,
funtooNorm,GPL-3,Kathleen Klein,10.18129/B9.BIOC.FUNTOONORM,,,
GA4GHclient,GPL (>= 2),Welliton Souza,10.18129/B9.BIOC.GA4GHCLIENT,,,
GA4GHshiny,GPL-3,Welliton Souza,10.18129/B9.BIOC.GA4GHSHINY,,,
gaga,GPL (>= 2),David Rossell,10.18129/B9.BIOC.GAGA,Q90533855,en,researcher (ORCID 0000-0002-7104-5789)
gage,GPL (>= 2.0),Weijun Luo,10.18129/B9.BIOC.GAGE,Q88221529,en,researcher (ORCID 0000-0002-6048-5164)
gaia,GPL-2,S. Morganella,10.18129/B9.BIOC.GAIA,,,
GAPGOM,MIT,Rezvan Ehsani,10.18129/B9.BIOC.GAPGOM,,,
GAprediction,GPL (>= 2),Jon Bohlin,10.18129/B9.BIOC.GAPREDICTION,Q42322490,en,researcher
garfield,GPL-3,Valentina Iotchkova,10.18129/B9.BIOC.GARFIELD,Q42533512,en,researcher
GateFinder,Artistic-2.0,Nima Aghaeepour,10.18129/B9.BIOC.GATEFINDER,Q97905004,en,researcher
GBScleanR,GPL-3,Tomoyuki Furuta,10.18129/B9.BIOC.GBSCLEANR,Q61793769,en,researcher ORCID ID = 0000-0002-0869-6626
gcatest,GPL-3,Wei Hao,10.18129/B9.BIOC.GCATEST,,,
gCrisprTools,Artistic-2.0,Russell Bainer,10.18129/B9.BIOC.GCRISPRTOOLS,Q96063657,en,researcher
gcrma,LGPL (>= 2.1),Z. Wu,10.18129/B9.BIOC.GCRMA,Q48898068,,
GCSConnection,GPL (>= 2),Jiefei Wang,10.18129/B9.BIOC.GCSCONNECTION,Q90928985,en,researcher (ORCID 0000-0002-2709-5332)
GCSFilesystem,GPL (>= 2),Jiefei Wang,10.18129/B9.BIOC.GCSFILESYSTEM,Q90928985,en,researcher (ORCID 0000-0002-2709-5332)
GCSscore,GPL (>= 3),Guy M. Harris,10.18129/B9.BIOC.GCSSCORE,,,
GDCRNATools,Artistic-2.0,Ruidong Li,10.18129/B9.BIOC.GDCRNATOOLS,Q98159158,en,researcher
GDSArray,GPL-3,Qian Liu,10.18129/B9.BIOC.GDSARRAY,,,
GEM,Artistic-2.0,Hong Pan,10.18129/B9.BIOC.GEM,,,
gemini,BSD_3_clause,Sidharth Jain,10.18129/B9.BIOC.GEMINI,,,
genbankr,Artistic-2.0,Gabriel Becker,10.18129/B9.BIOC.GENBANKR,Q102675489,en,"Ph.D. University of California, Davis 2014"
geneAttribution,Artistic-2.0,Arthur Wuster,10.18129/B9.BIOC.GENEATTRIBUTION,Q41483745,en,researcher
GeneBreak,GPL-2,Evert van den Broek,10.18129/B9.BIOC.GENEBREAK,,,
geneClassifiers,GPL-2,R Kuiper,10.18129/B9.BIOC.GENECLASSIFIERS,,,
genefilter,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GENEFILTER,,,
genefu,Artistic-2.0,Benjamin Haibe-Kains,10.18129/B9.BIOC.GENEFU,Q38639014,en,researcher
GeneGA,GPL-2,Zhenpeng Li,10.18129/B9.BIOC.GENEGA,,,
GeneMeta,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GENEMETA,,,
GeneNetworkBuilder,GPL (>= 2),Jianhong Ou,10.18129/B9.BIOC.GENENETWORKBUILDER,Q60678173,en,researcher
GeneOverlap,GPL-3,Ant,10.18129/B9.BIOC.GENEOVERLAP,,,
geneplotter,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GENEPLOTTER,,,
geneRecommender,GPL (>= 2),Greg Hather,10.18129/B9.BIOC.GENERECOMMENDER,,,
GeneRegionScan,GPL (>= 2),Lasse Folkersen,10.18129/B9.BIOC.GENEREGIONSCAN,Q37629479,en,researcher
GeneSelectMMD,GPL (>= 2),Weiliang Qiu,10.18129/B9.BIOC.GENESELECTMMD,Q55507718,en,researcher
GeneStructureTools,BSD_3_clause,Beth Signal,10.18129/B9.BIOC.GENESTRUCTURETOOLS,,,
GeneticsPed,LGPL (>= 2.1),David Henderson,10.18129/B9.BIOC.GENETICSPED,,,
geneXtendeR,GPL (>= 3),Bohdan Khomtchouk,10.18129/B9.BIOC.GENEXTENDER,Q96187547,en,researcher
genoCN,GPL (>= 2),Wei Sun,10.18129/B9.BIOC.GENOCN,Q90742969,en,researcher (ORCID 0000-0002-6350-1107)
GenomeInfoDb,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GENOMEINFODB,,,
genomeIntervals,Artistic-2.0,Julien Gagneur,10.18129/B9.BIOC.GENOMEINTERVALS,Q42293455,en,researcher
genomes,GPL-3,Chris Stubben,10.18129/B9.BIOC.GENOMES,Q59196429,en,researcher ORCID ID = 0000-0002-3390-4888
GenomicDataCommons,Artistic-2.0,Sean Davis,10.18129/B9.BIOC.GENOMICDATACOMMONS,Q37390205,en,bioinformatician
GenomicDistributions,BSD_2_clause,Kristyna Kupkova,10.18129/B9.BIOC.GENOMICDISTRIBUTIONS,Q56888478,en,researcher
GenomicFiles,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GENOMICFILES,,,
GenomicOZone,LGPL (>= 2.1),Hua Zhong,10.18129/B9.BIOC.GENOMICOZONE,Q106767235,,
GenomicScores,Artistic-2.0,Robert Castelo,10.18129/B9.BIOC.GENOMICSCORES,Q42551515,,
GenomicSuperSignature,Artistic-2.0,Sehyun Oh,10.18129/B9.BIOC.GENOMICSUPERSIGNATURE,Q98196256,en,researcher
genphen,GPL (>= 2),Simo Kitanovski,10.18129/B9.BIOC.GENPHEN,Q47565668,en,researcher
GenProSeq,Artistic-2.0,Dongmin Jung,10.18129/B9.BIOC.GENPROSEQ,Q91273582,en,researcher (ORCID 0000-0001-7499-8422)
GenVisR,GPL-3,Zachary Skidmore,10.18129/B9.BIOC.GENVISR,Q41044304,en,researcher
GeoDiff,MIT,Nicole Ortogero,10.18129/B9.BIOC.GEODIFF,,,
GEOexplorer,GPL-3,Guy Hunt,10.18129/B9.BIOC.GEOEXPLORER,,,
GEOfastq,MIT,Alex Pickering,10.18129/B9.BIOC.GEOFASTQ,,,
GeomxTools,MIT,Nicole Ortogero,10.18129/B9.BIOC.GEOMXTOOLS,,,
GEOquery,MIT,Sean Davis,10.18129/B9.BIOC.GEOQUERY,Q37390205,en,bioinformatician
GEOsubmission,GPL (>= 2),Alexandre Kuhn,10.18129/B9.BIOC.GEOSUBMISSION,Q90907542,en,researcher (ORCID 0000-0001-5539-9002)
gep2pep,GPL-3,Francesco Napolitano,10.18129/B9.BIOC.GEP2PEP,,,
gespeR,GPL-3,Fabian Schmich,10.18129/B9.BIOC.GESPER,Q86413377,en,researcher
geva,LGPL (>= 2.1),Itamar José Guimarães Nunes,10.18129/B9.BIOC.GEVA,Q106714661,,
GEWIST,GPL-2,Wei Q. Deng,10.18129/B9.BIOC.GEWIST,,,
ggbio,Artistic-2.0,Michael Lawrence,10.18129/B9.BIOC.GGBIO,Q57321289,en,researcher (ORCID 0000-0003-1999-0801)
ggcyto,Artistic-2.0,Mike Jiang,10.18129/B9.BIOC.GGCYTO,,,
ggmanh,MIT,John Lee,10.18129/B9.BIOC.GGMANH,,,
ggmsa,Artistic-2.0,Lang Zhou,10.18129/B9.BIOC.GGMSA,Q113651049,,
GGPA,GPL (>= 2),Dongjun Chung,10.18129/B9.BIOC.GGPA,Q50903908,en,researcher
ggspavis,MIT,Lukas M. Weber,10.18129/B9.BIOC.GGSPAVIS,,,
ggtree,Artistic-2.0,Guangchuang Yu,10.18129/B9.BIOC.GGTREE,Q56548905,en,researcher
GIGSEA,LGPL (>= 2.1),Shijia Zhu,10.18129/B9.BIOC.GIGSEA,,,
GISPA,GPL-2,Bhakti Dwivedi,10.18129/B9.BIOC.GISPA,Q50107918,en,researcher
GLAD,GPL-2,Philippe Hupe,10.18129/B9.BIOC.GLAD,Q47666497,en,researcher
GladiaTOX,GPL-2,PMP S.A. R Support,10.18129/B9.BIOC.GLADIATOX,,,
Glimma,GPL-3,Shian Su,10.18129/B9.BIOC.GLIMMA,,,
glmSparseNet,GPL-3,André Veríssimo,10.18129/B9.BIOC.GLMSPARSENET,Q56591509,en,researcher
GlobalAncova,GPL (>= 2),Manuela Hummel,10.18129/B9.BIOC.GLOBALANCOVA,Q89423921,en,researcher
globalSeq,GPL-3,Armin Rauschenberger,10.18129/B9.BIOC.GLOBALSEQ,Q87418762,en,researcher
globaltest,GPL (>= 2),Jelle Goeman,10.18129/B9.BIOC.GLOBALTEST,Q48799316,en,researcher
gmapR,Artistic-2.0,Michael Lawrence,10.18129/B9.BIOC.GMAPR,Q57321289,en,researcher (ORCID 0000-0003-1999-0801)
GmicR,GPL-2,Richard Virgen-Slane,10.18129/B9.BIOC.GMICR,Q59708113,en,researcher ORCID ID = 0000-0002-0011-3844
gmoviz,GPL-3,Kathleen Zeglinski,10.18129/B9.BIOC.GMOVIZ,,,
GMRP,GPL (>= 2),Yuan-De Tan,10.18129/B9.BIOC.GMRP,,,
GNET2,Apache License 2.0,Chen Chen,10.18129/B9.BIOC.GNET2,Q42488282,en,researcher 0000-0003-2104-534X
GOexpress,GPL (>= 3),Kevin Rue-Albrecht,10.18129/B9.BIOC.GOEXPRESS,Q58165399,en,"researcher, ORCID id # 0000-0003-3899-3872"
GOfuncR,GPL (>= 2),Steffi Grote,10.18129/B9.BIOC.GOFUNCR,,,
GOpro,GPL-3,Lidia Chrabaszcz,10.18129/B9.BIOC.GOPRO,,,
goProfiles,GPL-2,Alex Sanchez,10.18129/B9.BIOC.GOPROFILES,,,
goseq,LGPL (>= 2.1),Matthew Young,10.18129/B9.BIOC.GOSEQ,Q58234510,en,"researcher, ORCID id # 0000-0003-2921-3432"
GOSim,GPL (>= 2),Holger Froehlich,10.18129/B9.BIOC.GOSIM,Q39066037,en,German bioinformatician
goSTAG,GPL-3,Brian D. Bennett,10.18129/B9.BIOC.GOSTAG,,,
GOstats,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GOSTATS,,,
GOsummaries,GPL (>= 2),Raivo Kolde,10.18129/B9.BIOC.GOSUMMARIES,Q42082024,en,researcher
goTools,GPL-2,Agnes Paquet,10.18129/B9.BIOC.GOTOOLS,,,
GPA,GPL (>= 2),Dongjun Chung,10.18129/B9.BIOC.GPA,Q50903908,en,researcher
gpart,MIT,Sun Ah Kim,10.18129/B9.BIOC.GPART,Q73487665,en,researcher
gpls,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GPLS,,,
gpuMagic,GPL-3,Jiefei Wang,10.18129/B9.BIOC.GPUMAGIC,Q90928985,en,researcher (ORCID 0000-0002-2709-5332)
GRaNIE,Artistic-2.0,Christian Arnold,10.18129/B9.BIOC.GRANIE,Q57463112,en,researcher ORCID ID = 0000-0001-9088-4150
granulator,GPL-3,Sabina Pfister,10.18129/B9.BIOC.GRANULATOR,,,
graper,GPL (>= 2),Britta Velten,10.18129/B9.BIOC.GRAPER,Q103112237,en,Ph.D. ETH Zürich 2019
graph,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GRAPH,,,
GraphAT,LGPL (>= 2.1),Thomas LaFramboise,10.18129/B9.BIOC.GRAPHAT,Q90066038,en,researcher
graphite,AGPL-3,Gabriele Sales,10.18129/B9.BIOC.GRAPHITE,,,
GraphPAC,GPL-2,Gregory Ryslik,10.18129/B9.BIOC.GRAPHPAC,Q102430589,en,Ph.D. Yale University 2014
GRENITS,GPL (>= 2),Edward Morrissey,10.18129/B9.BIOC.GRENITS,Q57244785,en,researcher
GreyListChIP,Artistic-2.0,Rory Stark,10.18129/B9.BIOC.GREYLISTCHIP,Q42664072,en,researcher
GRmetrics,GPL-3,Nicholas Clark,10.18129/B9.BIOC.GRMETRICS,Q42882969,en,researcher (ORCID 0000-0001-7131-3301)
groHMM,GPL-3,Anusha Nagari,10.18129/B9.BIOC.GROHMM,,,
GRridge,GPL-3,Mark A. van de Wiel,10.18129/B9.BIOC.GRRIDGE,Q90102015,en,biostatistician
GSALightning,GPL (>= 2),Billy Heung Wing Chang,10.18129/B9.BIOC.GSALIGHTNING,,,
GSAR,GPL (>= 2),Yasir Rahmatallah,10.18129/B9.BIOC.GSAR,Q92773351,en,researcher (ORCID 0000-0002-8176-6328)
GSCA,GPL (>= 2),Zhicheng Ji,10.18129/B9.BIOC.GSCA,Q92560339,en,researcher (ORCID 0000-0002-4837-7240)
GSEABase,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GSEABASE,,,
GSEAlm,Artistic-2.0,Assaf Oron,10.18129/B9.BIOC.GSEALM,,,
GSEAmining,GPL-3,Oriol Arqués,10.18129/B9.BIOC.GSEAMINING,Q60648829,en,researcher ORCID ID = 0000-0003-2603-3874
gsean,Artistic-2.0,Dongmin Jung,10.18129/B9.BIOC.GSEAN,Q91273582,en,researcher (ORCID 0000-0001-7499-8422)
GSReg,GPL-2,Bahman Afsari,10.18129/B9.BIOC.GSREG,Q91967610,en,researcher (ORCID 0000-0001-8717-7199)
GSRI,GPL-3,Julian Gehring,10.18129/B9.BIOC.GSRI,Q56604473,en,researcher
gtrellis,MIT,Zuguang Gu,10.18129/B9.BIOC.GTRELLIS,Q44539523,en,researcher
GUIDEseq,GPL (>= 2),Lihua Julie Zhu,10.18129/B9.BIOC.GUIDESEQ,Q59510987,en,researcher ORCID ID = 0000-0001-7416-0590
Guitar,GPL-2,Jia Meng,10.18129/B9.BIOC.GUITAR,Q37374363,en,researcher (ORCID 0000-0003-3455-205X)
GWAS.BAYES,GPL-2,Jake Williams,10.18129/B9.BIOC.GWAS.BAYES,,,
gwascat,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.GWASCAT,,,
gwasurvivr,Artistic-2.0,Abbas Rizvi,10.18129/B9.BIOC.GWASURVIVR,,,
GWENA,GPL-3,Gwenaëlle Lemoine,10.18129/B9.BIOC.GWENA,,,
hapFabia,LGPL (>= 2.1),Andreas Mitterecker,10.18129/B9.BIOC.HAPFABIA,Q96766980,en,researcher
Harshlight,GPL (>= 2),Maurizio Pellegrino,10.18129/B9.BIOC.HARSHLIGHT,,,
hca,MIT,Martin Morgan,10.18129/B9.BIOC.HCA,Q60662565,en,researcher ORCID ID = 0000-0002-5874-8148
HDF5Array,Artistic-2.0,Hervé Pagès,10.18129/B9.BIOC.HDF5ARRAY,,,
HDTD,GPL-3,Anestis Touloumis,10.18129/B9.BIOC.HDTD,Q59564590,en,researcher ORCID ID = 0000-0002-5965-1639
heatmaps,Artistic-2.0,Malcolm Perry,10.18129/B9.BIOC.HEATMAPS,,,
Heatplus,GPL (>= 2),Alexander Ploner,10.18129/B9.BIOC.HEATPLUS,Q54997547,en,researcher
HelloRanges,GPL (>= 2),Michael Lawrence,10.18129/B9.BIOC.HELLORANGES,Q57321289,en,researcher (ORCID 0000-0003-1999-0801)
HELP,GPL (>= 2),Reid F. Thompson,10.18129/B9.BIOC.HELP,,,
HEM,GPL (>= 2),HyungJun Cho,10.18129/B9.BIOC.HEM,Q57437033,en,researcher
hermes,Apache License 2.0,Daniel Sabanés Bové,10.18129/B9.BIOC.HERMES,Q102426905,en,Dr. sc. nat. Universität Zürich 2014
HGC,GPL-3,XGlab,10.18129/B9.BIOC.HGC,,,
hiAnnotator,GPL (>= 2),Nirav V Malani,10.18129/B9.BIOC.HIANNOTATOR,,,
HIBAG,GPL-3,Xiuwen Zheng,10.18129/B9.BIOC.HIBAG,Q56992852,en,researcher (ORCID 0000-0002-1390-0708)
HiCDCPlus,GPL-3,Merve Sahin,10.18129/B9.BIOC.HICDCPLUS,Q82658840,en,researcher
hierGWAS,GPL-3,Laura Buzdugan,10.18129/B9.BIOC.HIERGWAS,,,
hierinf,GPL-3,Claude Renaux,10.18129/B9.BIOC.HIERINF,,,
HilbertCurve,MIT,Zuguang Gu,10.18129/B9.BIOC.HILBERTCURVE,Q44539523,en,researcher
HiLDA,GPL-3,Zhi Yang,10.18129/B9.BIOC.HILDA,Q58120268,en,"researcher, ORCID id # 0000-0002-2222-2312"
hipathia,GPL-2,Marta R. Hidalgo,10.18129/B9.BIOC.HIPATHIA,,,
HIPPO,GPL (>= 2),Tae Kim,10.18129/B9.BIOC.HIPPO,Q91854988,en,researcher (ORCID 0000-0003-0201-5401)
hiReadsProcessor,GPL-3,Nirav V Malani,10.18129/B9.BIOC.HIREADSPROCESSOR,,,
HIREewas,GPL (>= 2),Xiangyu Luo,10.18129/B9.BIOC.HIREEWAS,Q58218606,en,"researcher, ORCID id # 0000-0002-8825-3250"
hmdbQuery,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.HMDBQUERY,,,
HMMcopy,GPL-3,Daniel Lai,10.18129/B9.BIOC.HMMCOPY,Q57263306,en,researcher ORCID: 0000-0001-6365-3189
hopach,GPL (>= 2),Katherine S. Pollard,10.18129/B9.BIOC.HOPACH,Q90391163,en,"Professor at the Gladstone Institute,  University of California, San Francisco"
hpar,Artistic-2.0,Laurent Gatto,10.18129/B9.BIOC.HPAR,Q29998944,en,researcher
HPAStainR,Artistic-2.0,Tim O. Nieuwenhuis,10.18129/B9.BIOC.HPASTAINR,,,
HPiP,MIT,Matineh Rahmatbakhsh,10.18129/B9.BIOC.HPIP,,,
HTqPCR,Artistic-2.0,Heidi Dvinge,10.18129/B9.BIOC.HTQPCR,Q55137388,en,researcher
HTSeqGenie,Artistic-2.0,Jens Reeder,10.18129/B9.BIOC.HTSEQGENIE,,,
HTSFilter,Artistic-2.0,Andrea Rau,10.18129/B9.BIOC.HTSFILTER,,,
HubPub,Artistic-2.0,Kayla Interdonato,10.18129/B9.BIOC.HUBPUB,,,
HumanTranscriptomeCompendium,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.HUMANTRANSCRIPTOMECOMPENDIUM,,,
HybridMTest,GPL (>= 2),Demba Fofana,10.18129/B9.BIOC.HYBRIDMTEST,Q102443911,en,Ph.D. The University of Memphis 2016
hypeR,GPL-3,Anthony Federico,10.18129/B9.BIOC.HYPER,Q90665329,en,researcher (ORCID 0000-0002-9200-1689)
hyperdraw,GPL (>= 2),Paul Murrell,10.18129/B9.BIOC.HYPERDRAW,,,
hypergraph,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.HYPERGRAPH,,,
iASeq,GPL-2,Yingying Wei,10.18129/B9.BIOC.IASEQ,Q57036152,en,researcher (ORCID 0000-0003-3826-336X)
iasva,GPL-2,Donghyung Lee,10.18129/B9.BIOC.IASVA,Q89452071,en,researcher
iBBiG,Artistic-2.0,Aedin Culhane,10.18129/B9.BIOC.IBBIG,Q41048650,en,researcher
ibh,GPL (>= 2),Kircicegi Korkmaz,10.18129/B9.BIOC.IBH,,,
iBMQ,Artistic-2.0,Greg Imholte,10.18129/B9.BIOC.IBMQ,,,
iCARE,GPL-3,Bill Wheeler,10.18129/B9.BIOC.ICARE,,,
Icens,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ICENS,,,
icetea,GPL-3,Vivek Bhardwaj,10.18129/B9.BIOC.ICETEA,Q55979466,en,researcher
iCheck,GPL (>= 2),Weiliang Qiu,10.18129/B9.BIOC.ICHECK,Q55507718,en,researcher
iChip,GPL (>= 2),Qianxing Mo,10.18129/B9.BIOC.ICHIP,Q104495361,en,researcher
iClusterPlus,GPL (>= 2),Qianxing Mo,10.18129/B9.BIOC.ICLUSTERPLUS,Q104495361,en,researcher
iCNV,GPL-2,Zilu Zhou,10.18129/B9.BIOC.ICNV,Q87718923,en,researcher
iCOBRA,GPL (>= 2),Charlotte Soneson,10.18129/B9.BIOC.ICOBRA,Q43290839,en,researcher
IdeoViz,GPL-2,Shraddha Pai,10.18129/B9.BIOC.IDEOVIZ,Q91831658,en,researcher (ORCID 0000-0002-1048-581X)
idiogram,GPL-2,Karl J. Dykema,10.18129/B9.BIOC.IDIOGRAM,,,
