Package,License,maintainer,DOI
geva,LGPL (>= 2.1),Itamar José Guimarães Nunes,10.18129/B9.BIOC.GEVA
GEWIST,GPL-2,Wei Q. Deng,10.18129/B9.BIOC.GEWIST
ggbio,Artistic-2.0,Michael Lawrence,10.18129/B9.BIOC.GGBIO
ggcyto,Artistic-2.0,Mike Jiang,10.18129/B9.BIOC.GGCYTO
ggmanh,MIT,John Lee,10.18129/B9.BIOC.GGMANH
ggmsa,Artistic-2.0,Lang Zhou,10.18129/B9.BIOC.GGMSA
GGPA,GPL (>= 2),Dongjun Chung,10.18129/B9.BIOC.GGPA
ggspavis,MIT,Lukas M. Weber,10.18129/B9.BIOC.GGSPAVIS
ggtree,Artistic-2.0,Guangchuang Yu,10.18129/B9.BIOC.GGTREE
GIGSEA,LGPL (>= 2.1),Shijia Zhu,10.18129/B9.BIOC.GIGSEA
GISPA,GPL-2,Bhakti Dwivedi,10.18129/B9.BIOC.GISPA
GLAD,GPL-2,Philippe Hupe,10.18129/B9.BIOC.GLAD
GladiaTOX,GPL-2,PMP S.A. R Support,10.18129/B9.BIOC.GLADIATOX
Glimma,GPL-3,Shian Su,10.18129/B9.BIOC.GLIMMA
glmSparseNet,GPL-3,André Veríssimo,10.18129/B9.BIOC.GLMSPARSENET
GlobalAncova,GPL (>= 2),Manuela Hummel,10.18129/B9.BIOC.GLOBALANCOVA
globalSeq,GPL-3,Armin Rauschenberger,10.18129/B9.BIOC.GLOBALSEQ
globaltest,GPL (>= 2),Jelle Goeman,10.18129/B9.BIOC.GLOBALTEST
gmapR,Artistic-2.0,Michael Lawrence,10.18129/B9.BIOC.GMAPR
GmicR,GPL-2,Richard Virgen-Slane,10.18129/B9.BIOC.GMICR
gmoviz,GPL-3,Kathleen Zeglinski,10.18129/B9.BIOC.GMOVIZ
GMRP,GPL (>= 2),Yuan-De Tan,10.18129/B9.BIOC.GMRP
GNET2,Apache License 2.0,Chen Chen,10.18129/B9.BIOC.GNET2
GOexpress,GPL (>= 3),Kevin Rue-Albrecht,10.18129/B9.BIOC.GOEXPRESS
GOfuncR,GPL (>= 2),Steffi Grote,10.18129/B9.BIOC.GOFUNCR
GOpro,GPL-3,Lidia Chrabaszcz,10.18129/B9.BIOC.GOPRO
goProfiles,GPL-2,Alex Sanchez,10.18129/B9.BIOC.GOPROFILES
goseq,LGPL (>= 2.1),Matthew Young,10.18129/B9.BIOC.GOSEQ
GOSim,GPL (>= 2),Holger Froehlich,10.18129/B9.BIOC.GOSIM
goSTAG,GPL-3,Brian D. Bennett,10.18129/B9.BIOC.GOSTAG
GOstats,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GOSTATS
GOsummaries,GPL (>= 2),Raivo Kolde,10.18129/B9.BIOC.GOSUMMARIES
goTools,GPL-2,Agnes Paquet,10.18129/B9.BIOC.GOTOOLS
GPA,GPL (>= 2),Dongjun Chung,10.18129/B9.BIOC.GPA
gpart,MIT,Sun Ah Kim,10.18129/B9.BIOC.GPART
gpls,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GPLS
gpuMagic,GPL-3,Jiefei Wang,10.18129/B9.BIOC.GPUMAGIC
GRaNIE,Artistic-2.0,Christian Arnold,10.18129/B9.BIOC.GRANIE
granulator,GPL-3,Sabina Pfister,10.18129/B9.BIOC.GRANULATOR
graper,GPL (>= 2),Britta Velten,10.18129/B9.BIOC.GRAPER
graph,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GRAPH
GraphAT,LGPL (>= 2.1),Thomas LaFramboise,10.18129/B9.BIOC.GRAPHAT
graphite,AGPL-3,Gabriele Sales,10.18129/B9.BIOC.GRAPHITE
GraphPAC,GPL-2,Gregory Ryslik,10.18129/B9.BIOC.GRAPHPAC
GRENITS,GPL (>= 2),Edward Morrissey,10.18129/B9.BIOC.GRENITS
GreyListChIP,Artistic-2.0,Rory Stark,10.18129/B9.BIOC.GREYLISTCHIP
GRmetrics,GPL-3,Nicholas Clark,10.18129/B9.BIOC.GRMETRICS
groHMM,GPL-3,Anusha Nagari,10.18129/B9.BIOC.GROHMM
GRridge,GPL-3,Mark A. van de Wiel,10.18129/B9.BIOC.GRRIDGE
GSALightning,GPL (>= 2),Billy Heung Wing Chang,10.18129/B9.BIOC.GSALIGHTNING
GSAR,GPL (>= 2),Yasir Rahmatallah,10.18129/B9.BIOC.GSAR
GSCA,GPL (>= 2),Zhicheng Ji,10.18129/B9.BIOC.GSCA
GSEABase,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.GSEABASE
GSEAlm,Artistic-2.0,Assaf Oron,10.18129/B9.BIOC.GSEALM
GSEAmining,GPL-3,Oriol Arqués,10.18129/B9.BIOC.GSEAMINING
gsean,Artistic-2.0,Dongmin Jung,10.18129/B9.BIOC.GSEAN
GSgalgoR,MIT,Carlos Catania,10.18129/B9.BIOC.GSGALGOR
GSReg,GPL-2,Bahman Afsari,10.18129/B9.BIOC.GSREG
GSRI,GPL-3,Julian Gehring,10.18129/B9.BIOC.GSRI
gtrellis,MIT,Zuguang Gu,10.18129/B9.BIOC.GTRELLIS
GUIDEseq,GPL (>= 2),Lihua Julie Zhu,10.18129/B9.BIOC.GUIDESEQ
Guitar,GPL-2,Jia Meng,10.18129/B9.BIOC.GUITAR
GWAS.BAYES,GPL-2,Jake Williams,10.18129/B9.BIOC.GWAS.BAYES
gwascat,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.GWASCAT
gwasurvivr,Artistic-2.0,Abbas Rizvi,10.18129/B9.BIOC.GWASURVIVR
GWENA,GPL-3,Gwenaëlle Lemoine,10.18129/B9.BIOC.GWENA
hapFabia,LGPL (>= 2.1),Andreas Mitterecker,10.18129/B9.BIOC.HAPFABIA
Harshlight,GPL (>= 2),Maurizio Pellegrino,10.18129/B9.BIOC.HARSHLIGHT
hca,MIT,Martin Morgan,10.18129/B9.BIOC.HCA
HDF5Array,Artistic-2.0,Hervé Pagès,10.18129/B9.BIOC.HDF5ARRAY
HDTD,GPL-3,Anestis Touloumis,10.18129/B9.BIOC.HDTD
heatmaps,Artistic-2.0,Malcolm Perry,10.18129/B9.BIOC.HEATMAPS
Heatplus,GPL (>= 2),Alexander Ploner,10.18129/B9.BIOC.HEATPLUS
HelloRanges,GPL (>= 2),Michael Lawrence,10.18129/B9.BIOC.HELLORANGES
HELP,GPL (>= 2),Reid F. Thompson,10.18129/B9.BIOC.HELP
HEM,GPL (>= 2),HyungJun Cho,10.18129/B9.BIOC.HEM
hermes,Apache License 2.0,Daniel Sabanés Bové,10.18129/B9.BIOC.HERMES
HGC,GPL-3,XGlab,10.18129/B9.BIOC.HGC
hiAnnotator,GPL (>= 2),Nirav V Malani,10.18129/B9.BIOC.HIANNOTATOR
HIBAG,GPL-3,Xiuwen Zheng,10.18129/B9.BIOC.HIBAG
HiCDCPlus,GPL-3,Merve Sahin,10.18129/B9.BIOC.HICDCPLUS
hierGWAS,GPL-3,Laura Buzdugan,10.18129/B9.BIOC.HIERGWAS
hierinf,GPL-3,Claude Renaux,10.18129/B9.BIOC.HIERINF
HilbertCurve,MIT,Zuguang Gu,10.18129/B9.BIOC.HILBERTCURVE
HiLDA,GPL-3,Zhi Yang,10.18129/B9.BIOC.HILDA
hipathia,GPL-2,Marta R. Hidalgo,10.18129/B9.BIOC.HIPATHIA
HIPPO,GPL (>= 2),Tae Kim,10.18129/B9.BIOC.HIPPO
hiReadsProcessor,GPL-3,Nirav V Malani,10.18129/B9.BIOC.HIREADSPROCESSOR
HIREewas,GPL (>= 2),Xiangyu Luo,10.18129/B9.BIOC.HIREEWAS
hmdbQuery,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.HMDBQUERY
HMMcopy,GPL-3,Daniel Lai,10.18129/B9.BIOC.HMMCOPY
hopach,GPL (>= 2),Katherine S. Pollard,10.18129/B9.BIOC.HOPACH
hpar,Artistic-2.0,Laurent Gatto,10.18129/B9.BIOC.HPAR
HPAStainR,Artistic-2.0,Tim O. Nieuwenhuis,10.18129/B9.BIOC.HPASTAINR
HPiP,MIT,Matineh Rahmatbakhsh,10.18129/B9.BIOC.HPIP
HTqPCR,Artistic-2.0,Heidi Dvinge,10.18129/B9.BIOC.HTQPCR
HTSeqGenie,Artistic-2.0,Jens Reeder,10.18129/B9.BIOC.HTSEQGENIE
HTSFilter,Artistic-2.0,Andrea Rau,10.18129/B9.BIOC.HTSFILTER
HubPub,Artistic-2.0,Kayla Interdonato,10.18129/B9.BIOC.HUBPUB
HumanTranscriptomeCompendium,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.HUMANTRANSCRIPTOMECOMPENDIUM
hummingbird,GPL (>= 2),Eleni Adam,10.18129/B9.BIOC.HUMMINGBIRD
HybridMTest,GPL (>= 2),Demba Fofana,10.18129/B9.BIOC.HYBRIDMTEST
hypeR,GPL-3,Anthony Federico,10.18129/B9.BIOC.HYPER
hyperdraw,GPL (>= 2),Paul Murrell,10.18129/B9.BIOC.HYPERDRAW
hypergraph,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.HYPERGRAPH
iASeq,GPL-2,Yingying Wei,10.18129/B9.BIOC.IASEQ
iasva,GPL-2,Donghyung Lee,10.18129/B9.BIOC.IASVA
iBBiG,Artistic-2.0,Aedin Culhane,10.18129/B9.BIOC.IBBIG
ibh,GPL (>= 2),Kircicegi Korkmaz,10.18129/B9.BIOC.IBH
iBMQ,Artistic-2.0,Greg Imholte,10.18129/B9.BIOC.IBMQ
iCARE,GPL-3,Bill Wheeler,10.18129/B9.BIOC.ICARE
Icens,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.ICENS
icetea,GPL-3,Vivek Bhardwaj,10.18129/B9.BIOC.ICETEA
iCheck,GPL (>= 2),Weiliang Qiu,10.18129/B9.BIOC.ICHECK
iChip,GPL (>= 2),Qianxing Mo,10.18129/B9.BIOC.ICHIP
iClusterPlus,GPL (>= 2),Qianxing Mo,10.18129/B9.BIOC.ICLUSTERPLUS
iCNV,GPL-2,Zilu Zhou,10.18129/B9.BIOC.ICNV
iCOBRA,GPL (>= 2),Charlotte Soneson,10.18129/B9.BIOC.ICOBRA
IdeoViz,GPL-2,Shraddha Pai,10.18129/B9.BIOC.IDEOVIZ
idiogram,GPL-2,Karl J. Dykema,10.18129/B9.BIOC.IDIOGRAM
iGC,GPL-2,Liang-Bo Wang,10.18129/B9.BIOC.IGC
igvR,MIT,Paul Shannon,10.18129/B9.BIOC.IGVR
ILoReg,GPL-3,Johannes Smolander,10.18129/B9.BIOC.ILOREG
imageHTS,LGPL (>= 2.1),Joseph Barry,10.18129/B9.BIOC.IMAGEHTS
IMAS,GPL-2,Seonggyun Han,10.18129/B9.BIOC.IMAS
imcRtools,GPL-3,Nils Eling,10.18129/B9.BIOC.IMCRTOOLS
IMMAN,Artistic-2.0,Minoo Ashtiani,10.18129/B9.BIOC.IMMAN
ImmuneSpaceR,GPL-2,ImmuneSpace Package Maintainer,10.18129/B9.BIOC.IMMUNESPACER
immunoClust,Artistic-2.0,Till Soerensen,10.18129/B9.BIOC.IMMUNOCLUST
immunotation,GPL-3,Katharina Imkeller,10.18129/B9.BIOC.IMMUNOTATION
impute,GPL-2,Balasubramanian Narasimhan,10.18129/B9.BIOC.IMPUTE
INDEED,Artistic-2.0,Ressom group,10.18129/B9.BIOC.INDEED
infercnv,BSD_3_clause,Christophe Georgescu,10.18129/B9.BIOC.INFERCNV
infinityFlow,GPL-3,Etienne Becht,10.18129/B9.BIOC.INFINITYFLOW
Informeasure,GPL-3,Chu Pan,10.18129/B9.BIOC.INFORMEASURE
InPAS,GPL (>= 2),Jianhong Ou,10.18129/B9.BIOC.INPAS
INPower,GPL-2,Bill Wheeler,10.18129/B9.BIOC.INPOWER
intansv,MIT,Wen Yao,10.18129/B9.BIOC.INTANSV
interacCircos,GPL-3,Zhe Cui,10.18129/B9.BIOC.INTERACCIRCOS
InteractionSet,GPL-3,Aaron Lun,10.18129/B9.BIOC.INTERACTIONSET
InteractiveComplexHeatmap,MIT,Zuguang Gu,10.18129/B9.BIOC.INTERACTIVECOMPLEXHEATMAP
interactiveDisplay,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.INTERACTIVEDISPLAY
interactiveDisplayBase,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.INTERACTIVEDISPLAYBASE
InterCellar,MIT,Marta Interlandi,10.18129/B9.BIOC.INTERCELLAR
InterMineR,LGPL (>= 2.1),InterMine Team,10.18129/B9.BIOC.INTERMINER
IntramiRExploreR,GPL-2,Surajit Bhattacharya,10.18129/B9.BIOC.INTRAMIREXPLORER
inveRsion,GPL (>= 2),Alejandro Caceres,10.18129/B9.BIOC.INVERSION
IONiseR,MIT,Mike Smith,10.18129/B9.BIOC.IONISER
iPAC,GPL-2,Gregory Ryslik,10.18129/B9.BIOC.IPAC
iPath,GPL-2,Kenong Su,10.18129/B9.BIOC.IPATH
ipdDb,Artistic-2.0,Steffen Klasberg,10.18129/B9.BIOC.IPDDB
IPO,GPL (>= 2),Thomas Riebenbauer,10.18129/B9.BIOC.IPO
IRISFGM,GPL-2,Yuzhou Chang,10.18129/B9.BIOC.IRISFGM
ISAnalytics,CC BY 4.0,Andrea Calabria,10.18129/B9.BIOC.ISANALYTICS
iSEEu,MIT,Kevin Rue-Albrecht,10.18129/B9.BIOC.ISEEU
iSeq,GPL (>= 2),Qianxing Mo,10.18129/B9.BIOC.ISEQ
isobar,LGPL (>= 2.1),Florian P Breitwieser,10.18129/B9.BIOC.ISOBAR
IsoCorrectoR,GPL-3,Christian Kohler,10.18129/B9.BIOC.ISOCORRECTOR
IsoCorrectoRGUI,GPL-3,Christian Kohler,10.18129/B9.BIOC.ISOCORRECTORGUI
IsoGeneGUI,GPL-2,Setia Pramana,10.18129/B9.BIOC.ISOGENEGUI
ISoLDE,GPL (>= 2.0),Christelle Reynès,10.18129/B9.BIOC.ISOLDE
isomiRs,MIT,Lorena Pantano,10.18129/B9.BIOC.ISOMIRS
ITALICS,GPL-2,Guillem Rigaill,10.18129/B9.BIOC.ITALICS
iterativeBMA,GPL (>= 2),Ka Yee Yeung,10.18129/B9.BIOC.ITERATIVEBMA
iterativeBMAsurv,GPL (>= 2),Ka Yee Yeung,10.18129/B9.BIOC.ITERATIVEBMASURV
iteremoval,GPL-2,Jiacheng Chuan,10.18129/B9.BIOC.ITEREMOVAL
IVAS,GPL-2,Seonggyun Han,10.18129/B9.BIOC.IVAS
ivygapSE,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.IVYGAPSE
KBoost,GPL-2,Luis F. Iglesias-Martinez,10.18129/B9.BIOC.KBOOST
KCsmart,GPL-3,Jorma de Ronde,10.18129/B9.BIOC.KCSMART
KEGGgraph,GPL (>= 2),Jitao David Zhang,10.18129/B9.BIOC.KEGGGRAPH
KEGGlincs,GPL-3,Shana White,10.18129/B9.BIOC.KEGGLINCS
keggorthology,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.KEGGORTHOLOGY
KEGGREST,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.KEGGREST
KinSwingR,GPL-3,Ashley J. Waardenberg,10.18129/B9.BIOC.KINSWINGR
kissDE,GPL (>= 2),Aurélie Siberchicot,10.18129/B9.BIOC.KISSDE
KnowSeq,GPL (>= 2),Daniel Castillo-Secilla,10.18129/B9.BIOC.KNOWSEQ
lapmix,GPL (>= 2),Yann Ruffieux,10.18129/B9.BIOC.LAPMIX
LBE,GPL-2,Cyril Dalmasso,10.18129/B9.BIOC.LBE
ldblock,Artistic-2.0,VJ Carey,10.18129/B9.BIOC.LDBLOCK
LEA,GPL-3,Olivier Francois,10.18129/B9.BIOC.LEA
lefser,Artistic-2.0,Asya Khleborodova,10.18129/B9.BIOC.LEFSER
les,GPL-3,Julian Gehring,10.18129/B9.BIOC.LES
levi,GPL (>= 2),Jose Luiz Rybarczyk Filho,10.18129/B9.BIOC.LEVI
lfa,GPL-3,Wei Hao,10.18129/B9.BIOC.LFA
limma,GPL (>= 2),Gordon Smyth,10.18129/B9.BIOC.LIMMA
limmaGUI,GPL (>= 2),Gordon Smyth,10.18129/B9.BIOC.LIMMAGUI
LineagePulse,Artistic-2.0,David S Fischer,10.18129/B9.BIOC.LINEAGEPULSE
lineagespot,MIT,Nikolaos Pechlivanis,10.18129/B9.BIOC.LINEAGESPOT
LinkHD,GPL-3,"""Laura M Zingaretti""",10.18129/B9.BIOC.LINKHD
LinTInd,MIT,Luyue Wang,10.18129/B9.BIOC.LINTIND
lipidr,MIT,Ahmed Mohamed,10.18129/B9.BIOC.LIPIDR
LiquidAssociation,GPL (>= 3),Yen-Yi Ho,10.18129/B9.BIOC.LIQUIDASSOCIATION
lisaClust,GPL (>= 2),Ellis Patrick,10.18129/B9.BIOC.LISACLUST
lmdme,GPL (>= 2),Cristobal Fresno,10.18129/B9.BIOC.LMDME
LOBSTAHS,GPL (>= 3),Henry Holm,10.18129/B9.BIOC.LOBSTAHS
loci2path,Artistic-2.0,Tianlei Xu,10.18129/B9.BIOC.LOCI2PATH
logicFS,LGPL (>= 2.1),Holger Schwender,10.18129/B9.BIOC.LOGICFS
logitT,GPL (>= 2),Tobias Guennel,10.18129/B9.BIOC.LOGITT
LOLA,GPL-3,Nathan Sheffield,10.18129/B9.BIOC.LOLA
LoomExperiment,Artistic-2.0,Bioconductor Package Maintainer,10.18129/B9.BIOC.LOOMEXPERIMENT
LPE,LGPL (>= 2.1),Nitin Jain,10.18129/B9.BIOC.LPE
LPEadj,LGPL (>= 2.1),Carl Murie,10.18129/B9.BIOC.LPEADJ
lpNet,Artistic License 2.0,Lars Kaderali,10.18129/B9.BIOC.LPNET
lpsymphony,EPL,Vladislav Kim,10.18129/B9.BIOC.LPSYMPHONY
LRBaseDbi,Artistic-2.0,Koki Tsuyuzaki,10.18129/B9.BIOC.LRBASEDBI
LRcell,MIT,Wenjing Ma,10.18129/B9.BIOC.LRCELL
lumi,LGPL (>= 2.1),Lei Huang,10.18129/B9.BIOC.LUMI
LymphoSeq,Artistic-2.0,David Coffey,10.18129/B9.BIOC.LYMPHOSEQ
M3C,AGPL-3,Christopher John,10.18129/B9.BIOC.M3C
M3Drop,GPL (>= 2),Tallulah Andrews,10.18129/B9.BIOC.M3DROP
m6Aboost,Artistic-2.0,You Zhou,10.18129/B9.BIOC.M6ABOOST
maanova,GPL (>= 2),Keith Sheppard,10.18129/B9.BIOC.MAANOVA
Maaslin2,MIT,Lauren McIver,10.18129/B9.BIOC.MAASLIN2
Macarron,MIT,Sagun Maharjan,10.18129/B9.BIOC.MACARRON
macat,Artistic-2.0,Joern Toedling,10.18129/B9.BIOC.MACAT
maCorrPlot,GPL (>= 2),Alexander Ploner,10.18129/B9.BIOC.MACORRPLOT
MACPET,GPL-3,Ioannis Vardaxis,10.18129/B9.BIOC.MACPET
MACSQuantifyR,Artistic-2.0,Raphaël Bonnet,10.18129/B9.BIOC.MACSQUANTIFYR
MACSr,BSD_3_clause,Qiang Hu,10.18129/B9.BIOC.MACSR
MADSEQ,GPL (>= 2),Yu Kong,10.18129/B9.BIOC.MADSEQ
MAGAR,GPL-3,Michael Scherer,10.18129/B9.BIOC.MAGAR
MAGeCKFlute,GPL (>= 3),Wubing Zhang,10.18129/B9.BIOC.MAGECKFLUTE
MAI,GPL-3,Jonathan Dekermanjian,10.18129/B9.BIOC.MAI
maigesPack,GPL (>= 2),Gustavo H. Esteves,10.18129/B9.BIOC.MAIGESPACK
MAIT,GPL-2,Pol Sola-Santos,10.18129/B9.BIOC.MAIT
makecdfenv,GPL (>= 2),James W. MacDonald,10.18129/B9.BIOC.MAKECDFENV
MANOR,GPL-2,Pierre Neuvial,10.18129/B9.BIOC.MANOR
MantelCorr,GPL (>= 2),Brian Steinmeyer,10.18129/B9.BIOC.MANTELCORR
mAPKL,GPL (>= 2),Argiris Sakellariou,10.18129/B9.BIOC.MAPKL
maPredictDSC,GPL-2,Adi Laurentiu Tarca,10.18129/B9.BIOC.MAPREDICTDSC
mapscape,GPL-3,Maia Smith,10.18129/B9.BIOC.MAPSCAPE
marr,GPL (>= 3),Tusharkanti Ghosh,10.18129/B9.BIOC.MARR
marray,LGPL (>= 2.1),Yee Hwa (Jean) Yang,10.18129/B9.BIOC.MARRAY
martini,GPL-3,Hector Climente-Gonzalez,10.18129/B9.BIOC.MARTINI
maser,MIT,Diogo F.T. Veiga,10.18129/B9.BIOC.MASER
maSigPro,GPL (>= 2),Maria Jose Nueda,10.18129/B9.BIOC.MASIGPRO
maskBAD,GPL (>= 2),Michael Dannemann,10.18129/B9.BIOC.MASKBAD
MassArray,GPL (>= 2),Reid F. Thompson,10.18129/B9.BIOC.MASSARRAY
MassSpecWavelet,LGPL (>= 2.1),Sergio Oller Moreno,10.18129/B9.BIOC.MASSSPECWAVELET
MAST,GPL (>= 2),Andrew McDavid,10.18129/B9.BIOC.MAST
MatrixGenerics,Artistic-2.0,Peter Hickey,10.18129/B9.BIOC.MATRIXGENERICS
MatrixQCvis,GPL (>= 3),Thomas Naake,10.18129/B9.BIOC.MATRIXQCVIS
MatrixRider,GPL-3,Elena Grassi,10.18129/B9.BIOC.MATRIXRIDER
matter,Artistic-2.0,Kylie A. Bemis,10.18129/B9.BIOC.MATTER
MBAmethyl,Artistic-2.0,Tao Wang,10.18129/B9.BIOC.MBAMETHYL
MBASED,Artistic-2.0,Oleg Mayba,10.18129/B9.BIOC.MBASED
MBCB,GPL (>= 2),Jeff Allen,10.18129/B9.BIOC.MBCB
MBECS,Artistic-2.0,Michael Olbrich,10.18129/B9.BIOC.MBECS
mbkmeans,MIT,Davide Risso,10.18129/B9.BIOC.MBKMEANS
mbOmic,Artistic-2.0,Congcong Gong,10.18129/B9.BIOC.MBOMIC
mBPCR,GPL (>= 2),P.M.V. Rancoita,10.18129/B9.BIOC.MBPCR
MBQN,GPL-3,Eva Brombacher,10.18129/B9.BIOC.MBQN
MBttest,GPL-3,Yuan-De Tan,10.18129/B9.BIOC.MBTTEST
MCbiclust,GPL-2,Robert Bentham,10.18129/B9.BIOC.MCBICLUST
mdp,GPL-3,Helder Nakaya,10.18129/B9.BIOC.MDP
mdqc,LGPL (>= 2.1),Gabriela Cohen-Freue,10.18129/B9.BIOC.MDQC
MDTS,Artistic-2.0,Jack M.. Fu,10.18129/B9.BIOC.MDTS
MEAL,Artistic-2.0,Xavier Escribà Montagut,10.18129/B9.BIOC.MEAL
MeasurementError.cor,LGPL (>= 2.1),Beiying Ding,10.18129/B9.BIOC.MEASUREMENTERROR.COR
MEAT,MIT,Sarah Voisin,10.18129/B9.BIOC.MEAT
MEB,GPL-2,Jiadi Zhu,10.18129/B9.BIOC.MEB
MEDIPS,GPL (>= 2),Lukas Chavez,10.18129/B9.BIOC.MEDIPS
MEDME,GPL (>= 2),Mattia Pelizzola,10.18129/B9.BIOC.MEDME
megadepth,Artistic-2.0,David Zhang,10.18129/B9.BIOC.MEGADEPTH
MEIGOR,GPL-3,Jose A. Egea,10.18129/B9.BIOC.MEIGOR
memes,MIT,Spencer Nystrom,10.18129/B9.BIOC.MEMES
Mergeomics,GPL (>= 2),Zeyneb Kurt,10.18129/B9.BIOC.MERGEOMICS
MesKit,GPL-3,Mengni Liu,10.18129/B9.BIOC.MESKIT
metabCombiner,GPL-3,Hani Habra,10.18129/B9.BIOC.METABCOMBINER
MetaboAnnotation,Artistic-2.0,Johannes Rainer,10.18129/B9.BIOC.METABOANNOTATION
MetaboCoreUtils,Artistic-2.0,Johannes Rainer,10.18129/B9.BIOC.METABOCOREUTILS
metabolomicsWorkbenchR,GPL-3,Gavin Rhys Lloyd,10.18129/B9.BIOC.METABOLOMICSWORKBENCHR
metabomxtr,GPL-2,Michael Nodzenski,10.18129/B9.BIOC.METABOMXTR
MetaCyto,GPL (>= 2),Zicheng Hu,10.18129/B9.BIOC.METACYTO
metagene,Artistic-2.0,Charles Joly Beauparlant,10.18129/B9.BIOC.METAGENE
metagene2,Artistic-2.0,Eric Fournier,10.18129/B9.BIOC.METAGENE2
metahdep,GPL-3,John R. Stevens,10.18129/B9.BIOC.METAHDEP
metaMS,GPL (>= 2),Yann Guitton,10.18129/B9.BIOC.METAMS
metapod,GPL-3,Aaron Lun,10.18129/B9.BIOC.METAPOD
metapone,Artistic-2.0,Tianwei Yu,10.18129/B9.BIOC.METAPONE
metaSeq,Artistic-2.0,Koki Tsuyuzaki,10.18129/B9.BIOC.METASEQ
metaseqR2,GPL (>= 3),Panagiotis Moulos,10.18129/B9.BIOC.METASEQR2
metavizr,MIT,Hector Corrada Bravo,10.18129/B9.BIOC.METAVIZR
MetaVolcanoR,GPL-3,Cesar Prada,10.18129/B9.BIOC.METAVOLCANOR
MetCirc,GPL (>= 3),Thomas Naake,10.18129/B9.BIOC.METCIRC
MethPed,GPL-2,Helena Carén,10.18129/B9.BIOC.METHPED
MethReg,GPL-3,Tiago Silva,10.18129/B9.BIOC.METHREG
MethTargetedNGS,Artistic-2.0,Muhammad Ahmer Jamil,10.18129/B9.BIOC.METHTARGETEDNGS
MethylAid,GPL (>= 2),L.J.Sinke,10.18129/B9.BIOC.METHYLAID
methylCC,CC BY 4.0,Stephanie C. Hicks,10.18129/B9.BIOC.METHYLCC
methylclock,MIT,Dolors Pelegri-Siso,10.18129/B9.BIOC.METHYLCLOCK
methylKit,Artistic-2.0,Altuna Akalin,10.18129/B9.BIOC.METHYLKIT
MethylMix,GPL-2,Olivier Gevaert,10.18129/B9.BIOC.METHYLMIX
methylMnM,GPL-3,Yan Zhou,10.18129/B9.BIOC.METHYLMNM
methylscaper,GPL-2,Bacher Rhonda,10.18129/B9.BIOC.METHYLSCAPER
methylumi,GPL-2,Sean Davis,10.18129/B9.BIOC.METHYLUMI
MetID,Artistic-2.0,Zhenzhi Li,10.18129/B9.BIOC.METID
MetNet,GPL (>= 3),Thomas Naake,10.18129/B9.BIOC.METNET
Mfuzz,GPL-2,Matthias Futschik,10.18129/B9.BIOC.MFUZZ
MGFM,GPL-3,Khadija El Amrani,10.18129/B9.BIOC.MGFM
MGFR,GPL-3,Khadija El Amrani,10.18129/B9.BIOC.MGFR
mgsa,Artistic-2.0,Sebastian Bauer,10.18129/B9.BIOC.MGSA
mia,Artistic-2.0,Felix G.M. Ernst,10.18129/B9.BIOC.MIA
miaSim,Artistic-2.0,Yagmur Simsek,10.18129/B9.BIOC.MIASIM
miaViz,Artistic-2.0,Felix G.M. Ernst,10.18129/B9.BIOC.MIAVIZ
MiChip,GPL (>= 2),Jonathon Blake,10.18129/B9.BIOC.MICHIP
microbiome,BSD_2_clause,Leo Lahti,10.18129/B9.BIOC.MICROBIOME
microbiomeDASim,MIT,Justin Williams,10.18129/B9.BIOC.MICROBIOMEDASIM
microbiomeExplorer,MIT,Janina Reeder,10.18129/B9.BIOC.MICROBIOMEEXPLORER
microbiomeMarker,GPL-3,Yang Cao,10.18129/B9.BIOC.MICROBIOMEMARKER
MicrobiomeProfiler,GPL-2,Meijun Chen,10.18129/B9.BIOC.MICROBIOMEPROFILER
MicrobiotaProcess,GPL (>= 3.0),Shuangbin Xu,10.18129/B9.BIOC.MICROBIOTAPROCESS
microRNA,Artistic-2.0,"""James F. Reid""",10.18129/B9.BIOC.MICRORNA
midasHLA,MIT,Maciej Migdał,10.18129/B9.BIOC.MIDASHLA
MIGSA,GPL (>= 2),Juan C. Rodriguez,10.18129/B9.BIOC.MIGSA
miloR,GPL-3,Mike Morgan,10.18129/B9.BIOC.MILOR
mimager,MIT,Aaron Wolen,10.18129/B9.BIOC.MIMAGER
mina,GPL,Rui Guan,10.18129/B9.BIOC.MINA
