Package,Version,Depends,License,DOI
dagLogo,1.34.0,"R (>= 3.0.1), methods, grid",GPL (>= 2),10.18129/B9.BIOC.DAGLOGO
daMA,1.68.0,NA,GPL (>= 2),10.18129/B9.BIOC.DAMA
DAMEfinder,1.8.0,R (>= 4.0),MIT,10.18129/B9.BIOC.DAMEFINDER
DaMiRseq,2.8.0,"R (>= 3.5.0), SummarizedExperiment, ggplot2",GPL (>= 2),10.18129/B9.BIOC.DAMIRSEQ
DAPAR,1.28.5,R (>= 4.2.0),Artistic-2.0,10.18129/B9.BIOC.DAPAR
DART,1.44.0,"R (>= 2.10.0), igraph (>= 0.6.0)",GPL-2,10.18129/B9.BIOC.DART
dasper,1.6.0,R (>= 4.0),Artistic-2.0,10.18129/B9.BIOC.DASPER
dcanr,1.12.0,R (>= 3.6.0),GPL-3,10.18129/B9.BIOC.DCANR
dce,1.4.99,R (>= 4.1),GPL-3,10.18129/B9.BIOC.DCE
dcGSA,1.24.0,"R (>= 3.3), Matrix",GPL-2,10.18129/B9.BIOC.DCGSA
ddCt,1.52.0,"R (>= 2.3.0), methods",LGPL-3,10.18129/B9.BIOC.DDCT
ddPCRclust,1.16.0,R (>= 3.5),Artistic-2.0,10.18129/B9.BIOC.DDPCRCLUST
dearseq,1.8.4,R (>= 3.6.0),GPL-2,10.18129/B9.BIOC.DEARSEQ
debCAM,1.14.0,R (>= 3.5),GPL-2,10.18129/B9.BIOC.DEBCAM
debrowser,1.24.0,"R (>= 3.5.0),",GPL-3,10.18129/B9.BIOC.DEBROWSER
DECIPHER,2.24.0,"R (>= 3.5.0), Biostrings (>= 2.59.1), RSQLite (>= 1.1), stats,
parallel",GPL-3,10.18129/B9.BIOC.DECIPHER
deco,1.12.0,"R (>= 3.5.0), AnnotationDbi, BiocParallel,
SummarizedExperiment, limma",GPL (>= 3),10.18129/B9.BIOC.DECO
DEComplexDisease,1.16.0,R (>= 3.3.3),GPL-3,10.18129/B9.BIOC.DECOMPLEXDISEASE
decompTumor2Sig,2.12.0,"R(>= 4.0), ggplot2",GPL-2,10.18129/B9.BIOC.DECOMPTUMOR2SIG
DeconRNASeq,1.38.0,"R (>= 2.14.0), limSolve, pcaMethods, ggplot2, grid",GPL-2,10.18129/B9.BIOC.DECONRNASEQ
decontam,1.16.0,"R (>= 3.4.1), methods (>= 3.4.1)",Artistic-2.0,10.18129/B9.BIOC.DECONTAM
deconvR,1.2.0,"R (>= 4.1), data.table (>= 1.14.0)",Artistic-2.0,10.18129/B9.BIOC.DECONVR
decoupleR,2.2.2,R (>= 4.0),GPL-3,10.18129/B9.BIOC.DECOUPLER
DeepBlueR,1.22.0,"R (>= 3.3), XML, RCurl",GPL (>= 2.0),10.18129/B9.BIOC.DEEPBLUER
DeepPINCS,1.4.0,"keras, R (>= 4.1)",Artistic-2.0,10.18129/B9.BIOC.DEEPPINCS
deepSNV,1.42.1,"R (>= 2.13.0), methods, graphics, parallel, IRanges,
GenomicRanges, SummarizedExperiment, Biostrings, VGAM,
VariantAnnotation (>= 1.13.44),",GPL-3,10.18129/B9.BIOC.DEEPSNV
DEFormats,1.24.0,NA,GPL-3,10.18129/B9.BIOC.DEFORMATS
DegNorm,1.6.1,"R (>= 4.0.0), methods",LGPL (>= 3),10.18129/B9.BIOC.DEGNORM
DEGraph,1.48.0,"R (>= 2.10.0), R.utils",GPL-3,10.18129/B9.BIOC.DEGRAPH
DEGreport,1.32.0,R (>= 3.6.0),MIT,10.18129/B9.BIOC.DEGREPORT
DEGseq,1.50.0,"R (>= 2.8.0), qvalue, methods",LGPL (>= 2),10.18129/B9.BIOC.DEGSEQ
DelayedArray,0.22.0,"R (>= 4.0.0), methods, stats4, Matrix, BiocGenerics (>=
0.37.0), MatrixGenerics (>= 1.1.3), S4Vectors (>= 0.27.2),
IRanges (>= 2.17.3)",Artistic-2.0,10.18129/B9.BIOC.DELAYEDARRAY
DelayedDataFrame,1.12.0,"R (>= 3.6), S4Vectors (>= 0.23.19), DelayedArray (>= 0.7.5)",GPL-3,10.18129/B9.BIOC.DELAYEDDATAFRAME
DelayedMatrixStats,1.18.0,"MatrixGenerics (>= 1.5.3), DelayedArray (>= 0.17.6)",MIT,10.18129/B9.BIOC.DELAYEDMATRIXSTATS
DelayedRandomArray,1.4.0,DelayedArray,GPL-3,10.18129/B9.BIOC.DELAYEDRANDOMARRAY
DelayedTensor,1.2.0,R (>= 4.1.0),Artistic-2.0,10.18129/B9.BIOC.DELAYEDTENSOR
deltaCaptureC,1.10.0,R (>= 3.6),MIT,10.18129/B9.BIOC.DELTACAPTUREC
deltaGseg,1.36.0,"R (>= 2.15.1), methods, ggplot2, changepoint, wavethresh,
tseries, pvclust, fBasics, grid, reshape, scales",GPL-2,10.18129/B9.BIOC.DELTAGSEG
DeMixT,1.12.0,"R (>= 3.6.0), parallel, Rcpp (>= 1.0.0), SummarizedExperiment,
knitr, KernSmooth, matrixcalc, rmarkdown",GPL-3,10.18129/B9.BIOC.DEMIXT
densvis,1.6.1,NA,MIT,10.18129/B9.BIOC.DENSVIS
DEP,1.18.0,R (>= 3.5),Artistic-2.0,10.18129/B9.BIOC.DEP
DepecheR,1.12.0,R (>= 4.0),MIT,10.18129/B9.BIOC.DEPECHER
DepInfeR,1.0.0,R (>= 4.2.0),GPL-3,10.18129/B9.BIOC.DEPINFER
DEqMS,1.14.0,"R(>= 3.5),graphics,stats,ggplot2,matrixStats,limma(>= 3.34)",LGPL,10.18129/B9.BIOC.DEQMS
derfinder,1.30.0,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.DERFINDER
derfinderHelper,1.30.0,R(>= 3.2.2),Artistic-2.0,10.18129/B9.BIOC.DERFINDERHELPER
derfinderPlot,1.30.0,R(>= 3.2),Artistic-2.0,10.18129/B9.BIOC.DERFINDERPLOT
DEScan2,1.16.0,"R (>= 3.5), GenomicRanges",Artistic-2.0,10.18129/B9.BIOC.DESCAN2
DESeq2,1.36.0,"S4Vectors (>= 0.23.18), IRanges, GenomicRanges,
SummarizedExperiment (>= 1.1.6)",LGPL (>= 3),10.18129/B9.BIOC.DESEQ2
DEsingle,1.16.0,R (>= 3.4.0),GPL-2,10.18129/B9.BIOC.DESINGLE
destiny,3.10.0,R (>= 3.4.0),GPL-3,10.18129/B9.BIOC.DESTINY
DEsubs,1.22.0,"R (>= 3.3), locfit",GPL-3,10.18129/B9.BIOC.DESUBS
DEWSeq,1.10.0,"R(>= 4.0.0), R.utils, DESeq2, BiocParallel",LGPL (>= 3),10.18129/B9.BIOC.DEWSEQ
DExMA,1.4.3,"R (>= 4.1), DExMAdata",GPL-2,10.18129/B9.BIOC.DEXMA
DEXSeq,1.42.0,"BiocParallel, Biobase, SummarizedExperiment, IRanges (>=
2.5.17), GenomicRanges (>= 1.23.7), DESeq2 (>= 1.9.11),
AnnotationDbi, RColorBrewer, S4Vectors (>= 0.23.18)",GPL (>= 3),10.18129/B9.BIOC.DEXSEQ
DFP,1.54.0,"methods, Biobase (>= 2.5.5)",GPL-2,10.18129/B9.BIOC.DFP
DIAlignR,2.4.0,"methods, stats, R (>= 4.0)",GPL-3,10.18129/B9.BIOC.DIALIGNR
DiffBind,3.6.1,"R (>= 4.0), GenomicRanges, SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.DIFFBIND
diffcoexp,1.16.0,"R (>= 3.5), WGCNA, SummarizedExperiment",GPL (> 2),10.18129/B9.BIOC.DIFFCOEXP
diffcyt,1.16.0,R (>= 3.4.0),MIT,10.18129/B9.BIOC.DIFFCYT
DifferentialRegulation,1.0.7,R (>= 4.2.0),GPL-3,10.18129/B9.BIOC.DIFFERENTIALREGULATION
diffGeneAnalysis,1.78.0,NA,GPL,10.18129/B9.BIOC.DIFFGENEANALYSIS
diffHic,1.28.0,"R (>= 3.5), GenomicRanges, InteractionSet,
SummarizedExperiment",GPL-3,10.18129/B9.BIOC.DIFFHIC
DiffLogo,2.20.0,"R (>= 3.4), stats, cba",GPL (>= 2),10.18129/B9.BIOC.DIFFLOGO
diffloop,1.24.0,R (>= 3.5.0),MIT,10.18129/B9.BIOC.DIFFLOOP
diffuStats,1.16.0,R (>= 3.4),GPL-3,10.18129/B9.BIOC.DIFFUSTATS
diffUTR,1.4.0,R (>= 4.0),GPL-3,10.18129/B9.BIOC.DIFFUTR
Dino,1.2.0,R (>= 4.0.0),GPL-3,10.18129/B9.BIOC.DINO
dir.expiry,1.4.0,NA,GPL-3,10.18129/B9.BIOC.DIR.EXPIRY
Director,1.22.0,R (>= 4.0),GPL-3,10.18129/B9.BIOC.DIRECTOR
DirichletMultinomial,1.38.0,"S4Vectors, IRanges",LGPL-3,10.18129/B9.BIOC.DIRICHLETMULTINOMIAL
discordant,1.20.0,R (>= 4.1.0),GPL-3,10.18129/B9.BIOC.DISCORDANT
DiscoRhythm,1.12.0,R (>= 3.6.0),GPL-3,10.18129/B9.BIOC.DISCORHYTHM
distinct,1.8.0,R (>= 4.0),GPL (>= 3),10.18129/B9.BIOC.DISTINCT
dittoSeq,1.8.1,ggplot2,MIT,10.18129/B9.BIOC.DITTOSEQ
divergence,1.12.0,"R (>= 3.6), SummarizedExperiment",GPL-2,10.18129/B9.BIOC.DIVERGENCE
dks,1.42.0,R (>= 2.8),GPL,10.18129/B9.BIOC.DKS
DMCFB,1.10.0,"R (>= 4.0.0), SummarizedExperiment, methods, S4Vectors,
BiocParallel, GenomicRanges, IRanges",GPL-3,10.18129/B9.BIOC.DMCFB
DMCHMM,1.18.0,"R (>= 4.1.0), SummarizedExperiment, methods, S4Vectors,
BiocParallel, GenomicRanges, IRanges, fdrtool",GPL-3,10.18129/B9.BIOC.DMCHMM
DMRcaller,1.28.0,"R (>= 3.5), GenomicRanges, IRanges, S4Vectors (>= 0.23.10)",GPL-3,10.18129/B9.BIOC.DMRCALLER
DMRforPairs,1.32.0,"R (>= 2.15.2), Gviz (>= 1.2.1), R2HTML (>= 2.2.1),
GenomicRanges (>= 1.10.7), parallel",GPL (>= 2),10.18129/B9.BIOC.DMRFORPAIRS
DMRScan,1.18.0,R (>= 3.6.0),GPL-3,10.18129/B9.BIOC.DMRSCAN
dmrseq,1.16.0,"R (>= 3.5), bsseq",MIT,10.18129/B9.BIOC.DMRSEQ
DNABarcodes,1.26.0,"Matrix, parallel",GPL-2,10.18129/B9.BIOC.DNABARCODES
DNAcopy,1.70.0,NA,GPL (>= 2),10.18129/B9.BIOC.DNACOPY
DNAshapeR,1.24.0,"R (>= 3.4), GenomicRanges",GPL-2,10.18129/B9.BIOC.DNASHAPER
DominoEffect,1.16.0,R(>= 3.5),GPL (>= 3),10.18129/B9.BIOC.DOMINOEFFECT
doppelgangR,1.24.0,"R (>= 3.5.0), Biobase, BiocParallel",GPL (>= 2.0),10.18129/B9.BIOC.DOPPELGANGR
Doscheda,1.18.0,R (>= 3.4),GPL-3,10.18129/B9.BIOC.DOSCHEDA
DOSE,3.22.0,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.DOSE
doseR,1.12.0,R (>= 3.6),GPL,10.18129/B9.BIOC.DOSER
dpeak,1.8.0,"R (>= 4.0.0), methods, stats, utils, graphics, Rcpp",GPL (>= 2),10.18129/B9.BIOC.DPEAK
drawProteins,1.16.0,R (>= 4.0),MIT,10.18129/B9.BIOC.DRAWPROTEINS
DRIMSeq,1.24.0,R (>= 3.4.0),GPL (>= 3),10.18129/B9.BIOC.DRIMSEQ
DriverNet,1.36.0,"R (>= 2.10), methods",GPL-3,10.18129/B9.BIOC.DRIVERNET
DropletUtils,1.16.0,SingleCellExperiment,GPL-3,10.18129/B9.BIOC.DROPLETUTILS
drugTargetInteractions,1.4.0,"methods, R (>= 4.1)",Artistic-2.0,10.18129/B9.BIOC.DRUGTARGETINTERACTIONS
DrugVsDisease,2.38.0,"R (>= 2.10), affy, limma, biomaRt, ArrayExpress, GEOquery,
DrugVsDiseasedata, cMap2data, qvalue",GPL-3,10.18129/B9.BIOC.DRUGVSDISEASE
DSS,2.44.0,"R (>= 3.5.0), methods, Biobase, BiocParallel, bsseq, parallel",GPL,10.18129/B9.BIOC.DSS
dStruct,1.2.0,R (>= 4.1),GPL (>= 2),10.18129/B9.BIOC.DSTRUCT
DTA,2.42.0,"R (>= 2.10), LSD",Artistic-2.0,10.18129/B9.BIOC.DTA
Dune,1.8.0,R (>= 3.6),MIT,10.18129/B9.BIOC.DUNE
dupRadar,1.26.1,R (>= 3.2.0),GPL-3,10.18129/B9.BIOC.DUPRADAR
dyebias,1.56.0,"R (>= 1.4.1), marray, Biobase",GPL-3,10.18129/B9.BIOC.DYEBIAS
DynDoc,1.74.0,"methods, utils",Artistic-2.0,10.18129/B9.BIOC.DYNDOC
easier,1.2.0,R (>= 4.1.0),MIT,10.18129/B9.BIOC.EASIER
easyreporting,1.8.0,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.EASYREPORTING
easyRNASeq,2.32.0,NA,Artistic-2.0,10.18129/B9.BIOC.EASYRNASEQ
EBarrays,2.60.0,"R (>= 1.8.0), Biobase, lattice, methods",GPL (>= 2),10.18129/B9.BIOC.EBARRAYS
EBcoexpress,1.40.0,"EBarrays, mclust, minqa",GPL (>= 2),10.18129/B9.BIOC.EBCOEXPRESS
EBImage,4.38.0,methods,LGPL,10.18129/B9.BIOC.EBIMAGE
EBSEA,1.24.0,R (>= 4.0.0),GPL-2,10.18129/B9.BIOC.EBSEA
EBSeq,1.36.0,"blockmodeling, gplots, testthat, R (>= 3.0.0)",Artistic-2.0,10.18129/B9.BIOC.EBSEQ
EBSeqHMM,1.30.0,EBSeq,Artistic-2.0,10.18129/B9.BIOC.EBSEQHMM
ecolitk,1.68.0,R (>= 2.10),GPL (>= 2),10.18129/B9.BIOC.ECOLITK
EDASeq,2.30.0,"Biobase (>= 2.15.1), ShortRead (>= 1.11.42)",Artistic-2.0,10.18129/B9.BIOC.EDASEQ
edge,2.28.0,"R(>= 3.1.0), Biobase",MIT,10.18129/B9.BIOC.EDGE
edgeR,3.38.1,"R (>= 3.6.0), limma (>= 3.41.5)",GPL (>= 2),10.18129/B9.BIOC.EDGER
eegc,1.22.0,R (>= 3.4.0),GPL-2,10.18129/B9.BIOC.EEGC
EGAD,1.24.0,R(>= 3.5),GPL-2,10.18129/B9.BIOC.EGAD
EGSEA,1.24.0,"R (>= 3.5), Biobase, gage (>= 2.14.4), AnnotationDbi, topGO
(>= 2.16.0), pathview (>= 1.4.2)",GPL-3,10.18129/B9.BIOC.EGSEA
eiR,1.36.0,"R (>= 2.10.0), ChemmineR (>= 2.15.15), methods, DBI",Artistic-2.0,10.18129/B9.BIOC.EIR
eisaR,1.8.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.EISAR
ELMER,2.20.0,"R (>= 3.4.0), ELMER.data (>= 2.9.3)",GPL-3,10.18129/B9.BIOC.ELMER
EMDomics,2.26.0,R (>= 3.2.1),MIT,10.18129/B9.BIOC.EMDOMICS
EmpiricalBrownsMethod,1.24.0,R (>= 3.2.0),MIT,10.18129/B9.BIOC.EMPIRICALBROWNSMETHOD
EnhancedVolcano,1.14.0,"ggplot2, ggrepel",GPL-3,10.18129/B9.BIOC.ENHANCEDVOLCANO
enhancerHomologSearch,1.2.0,"R (>= 4.1.0), methods",GPL (>= 2),10.18129/B9.BIOC.ENHANCERHOMOLOGSEARCH
EnMCB,1.8.2,R (>= 4.0),GPL-2,10.18129/B9.BIOC.ENMCB
ENmix,1.32.0,"R (>= 3.5.0), parallel, doParallel, foreach,
SummarizedExperiment, stats",Artistic-2.0,10.18129/B9.BIOC.ENMIX
EnrichedHeatmap,1.26.0,"R (>= 3.6.0), methods, grid, ComplexHeatmap (>= 2.11.0),
GenomicRanges",MIT,10.18129/B9.BIOC.ENRICHEDHEATMAP
EnrichmentBrowser,2.26.0,"SummarizedExperiment, graph",Artistic-2.0,10.18129/B9.BIOC.ENRICHMENTBROWSER
enrichplot,1.16.1,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.ENRICHPLOT
enrichTF,1.12.0,pipeFrame,GPL-3,10.18129/B9.BIOC.ENRICHTF
ensembldb,2.20.2,"R (>= 3.5.0), BiocGenerics (>= 0.15.10), GenomicRanges (>=
1.31.18), GenomicFeatures (>= 1.29.10), AnnotationFilter (>=
1.5.2)",LGPL,10.18129/B9.BIOC.ENSEMBLDB
ensemblVEP,1.38.0,"methods, BiocGenerics, GenomicRanges, VariantAnnotation",Artistic-2.0,10.18129/B9.BIOC.ENSEMBLVEP
epialleleR,1.4.0,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.EPIALLELER
EpiCompare,1.0.0,R (>= 4.1.0),GPL-3,10.18129/B9.BIOC.EPICOMPARE
epidecodeR,1.4.0,R (>= 3.1.0),GPL-3,10.18129/B9.BIOC.EPIDECODER
EpiDISH,2.12.0,R (>= 4.1),GPL-2,10.18129/B9.BIOC.EPIDISH
epigenomix,1.36.0,"R (>= 3.5.0), methods, Biobase, S4Vectors, IRanges,
GenomicRanges, SummarizedExperiment",LGPL-3,10.18129/B9.BIOC.EPIGENOMIX
epigraHMM,1.4.0,R (>= 3.5.0),MIT,10.18129/B9.BIOC.EPIGRAHMM
epihet,1.12.0,"R(>= 3.6), GenomicRanges, IRanges, S4Vectors, ggplot2,
foreach, Rtsne, igraph",Artistic-2.0,10.18129/B9.BIOC.EPIHET
epimutacions,1.0.3,"R (>= 4.2.0), epimutacionsData",MIT,10.18129/B9.BIOC.EPIMUTACIONS
epiNEM,1.20.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.EPINEM
epistack,1.2.0,R (>= 4.1),MIT,10.18129/B9.BIOC.EPISTACK
EpiTxDb,1.8.0,"R (>= 4.0), AnnotationDbi, Modstrings",Artistic-2.0,10.18129/B9.BIOC.EPITXDB
epivizr,2.26.0,"R (>= 3.5.0), methods",Artistic-2.0,10.18129/B9.BIOC.EPIVIZR
epivizrChart,1.18.0,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.EPIVIZRCHART
epivizrData,1.24.0,"R (>= 3.4), methods, epivizrServer (>= 1.1.1), Biobase",MIT,10.18129/B9.BIOC.EPIVIZRDATA
epivizrServer,1.24.0,"R (>= 3.2.3), methods",MIT,10.18129/B9.BIOC.EPIVIZRSERVER
epivizrStandalone,1.24.0,"R (>= 3.2.3), epivizr (>= 2.3.6), methods",MIT,10.18129/B9.BIOC.EPIVIZRSTANDALONE
erccdashboard,1.30.0,"R (>= 3.2), ggplot2 (>= 2.1.0), gridExtra (>= 2.0.0)",GPL (>= 2),10.18129/B9.BIOC.ERCCDASHBOARD
erma,1.12.0,"R (>= 3.1), methods, Homo.sapiens, GenomicFiles (>= 1.5.2)",Artistic-2.0,10.18129/B9.BIOC.ERMA
ERSSA,1.14.0,R (>= 4.0.0),GPL-3,10.18129/B9.BIOC.ERSSA
esATAC,1.18.0,"R (>= 4.0.0), Rsamtools, GenomicRanges, ShortRead, pipeFrame",GPL-3,10.18129/B9.BIOC.ESATAC
escape,1.6.0,R (>= 4.1),GPL-2,10.18129/B9.BIOC.ESCAPE
esetVis,1.22.0,NA,GPL-3,10.18129/B9.BIOC.ESETVIS
eudysbiome,1.26.0,R (>= 3.1.0),GPL-2,10.18129/B9.BIOC.EUDYSBIOME
evaluomeR,1.12.0,"R (>= 3.6), SummarizedExperiment, MultiAssayExperiment,
cluster (>= 2.0.9), fpc (>= 2.2-3), randomForest (>= 4.6.14),
flexmix (>= 2.3.15)",GPL-3,10.18129/B9.BIOC.EVALUOMER
EventPointer,3.4.1,"R (>= 3.5.0), SGSeq, Matrix, SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.EVENTPOINTER
EWCE,1.4.0,"R (>= 4.1), RNOmni (>= 1.0)",GPL-3,10.18129/B9.BIOC.EWCE
ExCluster,1.14.0,"Rsubread, GenomicRanges, rtracklayer, matrixStats, IRanges",GPL-3,10.18129/B9.BIOC.EXCLUSTER
ExiMiR,2.38.0,"R (>= 2.10), Biobase (>= 2.5.5), affy (>= 1.26.1), limma",GPL-2,10.18129/B9.BIOC.EXIMIR
exomeCopy,1.42.0,"R (>= 3.5.0), IRanges (>= 2.5.27), GenomicRanges (>= 1.23.16),
Rsamtools",GPL (>= 2),10.18129/B9.BIOC.EXOMECOPY
exomePeak2,1.8.1,"R (>= 3.5.0), SummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.EXOMEPEAK2
ExperimentHub,2.4.0,"methods, BiocGenerics (>= 0.15.10), AnnotationHub (>= 3.3.6),
BiocFileCache (>= 1.5.1)",Artistic-2.0,10.18129/B9.BIOC.EXPERIMENTHUB
ExperimentHubData,1.22.0,"utils, BiocGenerics (>= 0.15.10), S4Vectors, AnnotationHubData
(>= 1.21.3)",Artistic-2.0,10.18129/B9.BIOC.EXPERIMENTHUBDATA
ExperimentSubset,1.6.0,"R (>= 4.0.0), SummarizedExperiment, SingleCellExperiment,
SpatialExperiment, TreeSummarizedExperiment",MIT,10.18129/B9.BIOC.EXPERIMENTSUBSET
ExploreModelMatrix,1.8.0,NA,MIT,10.18129/B9.BIOC.EXPLOREMODELMATRIX
ExpressionAtlas,1.24.0,"R (>= 4.1.1), methods, Biobase, SummarizedExperiment, limma,
S4Vectors, xml2",GPL (>= 3),10.18129/B9.BIOC.EXPRESSIONATLAS
extraChIPs,1.0.2,"BiocParallel, R (>= 4.2.0), GenomicRanges, ggplot2,
SummarizedExperiment, tibble",GPL-3,10.18129/B9.BIOC.EXTRACHIPS
fabia,2.42.0,"R (>= 3.6.0), Biobase",LGPL (>= 2.1),10.18129/B9.BIOC.FABIA
factDesign,1.72.0,Biobase (>= 2.5.5),LGPL,10.18129/B9.BIOC.FACTDESIGN
FamAgg,1.24.0,"methods, kinship2, igraph",MIT,10.18129/B9.BIOC.FAMAGG
famat,1.5.0,R (>= 4.0),GPL-3,10.18129/B9.BIOC.FAMAT
farms,1.48.0,"R (>= 2.8), affy (>= 1.20.0), MASS, methods",LGPL (>= 2.1),10.18129/B9.BIOC.FARMS
fastLiquidAssociation,1.32.0,"methods, LiquidAssociation, parallel, doParallel, stats,
Hmisc, utils",GPL-2,10.18129/B9.BIOC.FASTLIQUIDASSOCIATION
FastqCleaner,1.13.0,NA,MIT,10.18129/B9.BIOC.FASTQCLEANER
fastreeR,1.0.0,R (>= 4.2),GPL-3,10.18129/B9.BIOC.FASTREER
fastseg,1.42.0,"R (>= 2.13), GenomicRanges, Biobase",LGPL (>= 2.0),10.18129/B9.BIOC.FASTSEG
FCBF,2.4.0,R (>= 4.1),MIT,10.18129/B9.BIOC.FCBF
fCCAC,1.22.0,"R (>= 3.3.0), S4Vectors, IRanges, GenomicRanges, grid",Artistic-2.0,10.18129/B9.BIOC.FCCAC
fCI,1.26.0,"R (>= 3.1),FNN, psych, gtools, zoo, rgl, grid, VennDiagram",GPL (>= 2),10.18129/B9.BIOC.FCI
fcoex,1.10.0,R (>= 4.1),GPL-3,10.18129/B9.BIOC.FCOEX
fcScan,1.10.0,NA,Artistic-2.0,10.18129/B9.BIOC.FCSCAN
fdrame,1.68.0,NA,GPL (>= 2),10.18129/B9.BIOC.FDRAME
FEAST,1.4.0,"R (>= 4.1), mclust, BiocParallel, SummarizedExperiment",GPL-2,10.18129/B9.BIOC.FEAST
fedup,1.4.0,R (>= 4.1),MIT,10.18129/B9.BIOC.FEDUP
FELLA,1.16.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.FELLA
ffpe,1.40.0,"R (>= 2.10.0), TTR, methods",GPL (> 2),10.18129/B9.BIOC.FFPE
fgga,1.4.0,"R (>= 4.1), RBGL",GPL-3,10.18129/B9.BIOC.FGGA
FGNet,3.30.0,R (>= 4.2.0),GPL (>= 2),10.18129/B9.BIOC.FGNET
fgsea,1.22.0,R (>= 3.3),MIT,10.18129/B9.BIOC.FGSEA
FilterFFPE,1.6.0,NA,LGPL-3,10.18129/B9.BIOC.FILTERFFPE
FindIT2,1.2.3,"GenomicRanges, R (>= 3.5.0)",Artistic-2.0,10.18129/B9.BIOC.FINDIT2
FISHalyseR,1.30.0,"EBImage,abind",Artistic-2.0,10.18129/B9.BIOC.FISHALYSER
fishpond,2.2.0,NA,GPL-2,10.18129/B9.BIOC.FISHPOND
FitHiC,1.22.0,NA,GPL (>= 2),10.18129/B9.BIOC.FITHIC
flagme,1.52.0,"gcspikelite, xcms, CAMERA",LGPL (>= 2),10.18129/B9.BIOC.FLAGME
FLAMES,1.2.1,NA,GPL (>= 2),10.18129/B9.BIOC.FLAMES
flowAI,1.26.0,R (>= 3.6),GPL (>= 2),10.18129/B9.BIOC.FLOWAI
flowBeads,1.34.0,"R (>= 2.15.0), methods, Biobase, rrcov, flowCore",Artistic-2.0,10.18129/B9.BIOC.FLOWBEADS
flowBin,1.32.0,"methods, flowCore, flowFP, R (>= 2.10)",Artistic-2.0,10.18129/B9.BIOC.FLOWBIN
flowcatchR,1.30.0,"R (>= 2.10), methods, EBImage",BSD_3_clause,10.18129/B9.BIOC.FLOWCATCHR
flowCHIC,1.30.0,R (>= 3.1.0),GPL-2,10.18129/B9.BIOC.FLOWCHIC
flowCL,1.34.0,"R (>= 3.4), Rgraphviz, SPARQL",Artistic-2.0,10.18129/B9.BIOC.FLOWCL
flowClean,1.34.0,"R (>= 2.15.0), flowCore",Artistic-2.0,10.18129/B9.BIOC.FLOWCLEAN
flowClust,3.34.0,R(>= 2.5.0),Artistic-2.0,10.18129/B9.BIOC.FLOWCLUST
flowCore,2.8.0,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.FLOWCORE
flowCut,1.6.0,"R (>= 3.4), flowCore",Artistic-2.0,10.18129/B9.BIOC.FLOWCUT
flowCyBar,1.32.0,R (>= 3.0.0),GPL-2,10.18129/B9.BIOC.FLOWCYBAR
flowDensity,1.30.0,NA,Artistic-2.0,10.18129/B9.BIOC.FLOWDENSITY
flowFP,1.54.0,"R (>= 2.10), flowCore, flowViz",Artistic-2.0,10.18129/B9.BIOC.FLOWFP
flowGraph,1.4.0,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.FLOWGRAPH
flowMap,1.34.0,"R (>= 3.0.1), ade4(>= 1.5-2), doParallel(>= 1.0.3), abind(>=
1.4.0), reshape2(>= 1.2.2), scales(>= 0.2.3), Matrix(>= 1.1-4),
methods (>= 2.14)",GPL (>= 2),10.18129/B9.BIOC.FLOWMAP
flowMatch,1.32.0,"R (>= 3.0.0), Rcpp (>= 0.11.0), methods, flowCore",Artistic-2.0,10.18129/B9.BIOC.FLOWMATCH
flowMeans,1.56.0,R (>= 2.10.0),Artistic-2.0,10.18129/B9.BIOC.FLOWMEANS
flowMerge,2.44.0,"graph,feature,flowClust,Rgraphviz,foreach,snow",Artistic-2.0,10.18129/B9.BIOC.FLOWMERGE
flowPeaks,1.42.0,R (>= 2.12.0),Artistic-1.0,10.18129/B9.BIOC.FLOWPEAKS
flowPloidy,1.22.0,NA,GPL-3,10.18129/B9.BIOC.FLOWPLOIDY
flowPlots,1.44.0,"R (>= 2.13.0), methods",Artistic-2.0,10.18129/B9.BIOC.FLOWPLOTS
FlowSOM,2.4.0,"R (>= 4.0), igraph",GPL (>= 2),10.18129/B9.BIOC.FLOWSOM
flowSpecs,1.10.0,R (>= 4.0),MIT,10.18129/B9.BIOC.FLOWSPECS
flowStats,4.8.2,R (>= 3.0.2),Artistic-2.0,10.18129/B9.BIOC.FLOWSTATS
flowTime,1.20.0,"R (>= 3.4), flowCore",Artistic-2.0,10.18129/B9.BIOC.FLOWTIME
flowTrans,1.48.0,"R (>= 2.11.0), flowCore, flowViz,flowClust",Artistic-2.0,10.18129/B9.BIOC.FLOWTRANS
