Package,Version,Depends,License,DOI,QID,Descr_lang,Descr,License_DOI
MBECS,1.0.0,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.MBECS,Q1063217,en,motor vehicle,Q14624826
mbkmeans,1.12.2000,R (>= 3.6),MIT,10.18129/B9.BIOC.MBKMEANS,Q112617435,en,scientific article published on 26 January 2021,Q49108
mbOmic,1.0.0,R (>= 4.1.0),Artistic-2.0,10.18129/B9.BIOC.MBOMIC,,,,Q14624826
mBPCR,1.50.0,"oligoClasses, GWASTools",GPL (>= 2),10.18129/B9.BIOC.MBPCR,,,,Q27016752
MBQN,2.8.2000,R (>= 3.6),GPL-3,10.18129/B9.BIOC.MBQN,,,,Q63034458
MBttest,1.24.0,"R (>= 3.3.0), stats, gplots, gtools,graphics,base,
utils,grDevices",GPL-3,10.18129/B9.BIOC.MBTTEST,,,,Q63034458
MCbiclust,1.20.0,R (>= 3.4),GPL-2,10.18129/B9.BIOC.MCBICLUST,Q41627108,en,scientific article published on September 2017,Q63002579
mCSEA,1.16.0,"R (>= 3.5), mCSEAdata, Homo.sapiens",GPL-2,10.18129/B9.BIOC.MCSEA,Q91501004,en,scientific article published on 01 September 2019,Q63002579
mdp,1.16.0,R (>= 4.0),GPL-3,10.18129/B9.BIOC.MDP,Q6837512,en,political organization in the U.S. state of Michigan,Q63034458
mdqc,1.58.0,"R (>= 2.2.1), cluster, MASS",LGPL (>= 2),10.18129/B9.BIOC.MDQC,Q33302482,en,scientific article,
MDTS,1.16.0,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.MDTS,Q38429242,en,scientific article published on 20 July 2017,Q14624826
MEAL,1.26.0,"R (>= 3.6.0), Biobase, MultiDataSet",Artistic-2.0,10.18129/B9.BIOC.MEAL,Q6460735,en,eating that takes place at a specific time,Q14624826
MeasurementError.cor,1.68.0,NA,LGPL,10.18129/B9.BIOC.MEASUREMENTERROR.COR,,,,Q192897
MEAT,1.8.2000,R (>= 4.0),MIT,10.18129/B9.BIOC.MEAT,Q10990,en,animal flesh eaten as food,Q49108
MEB,1.10.2000,R (>= 3.6.0),GPL-2,10.18129/B9.BIOC.MEB,Q1319272,en,"airport in Essendon Fields, Victoria, Australia",Q63002579
MEDIPS,1.48.0,"R (>= 3.0), BSgenome, Rsamtools",GPL (>= 2),10.18129/B9.BIOC.MEDIPS,Q30694661,en,scientific article,Q27016752
MEDME,1.56.0,"R (>= 2.15), grDevices, graphics, methods, stats, utils",GPL (>= 2),10.18129/B9.BIOC.MEDME,Q592123,en,"village in Buckinghamshire, United Kingdom",Q27016752
megadepth,1.6.2000,NA,Artistic-2.0,10.18129/B9.BIOC.MEGADEPTH,,,,Q14624826
MEIGOR,1.30.0,"Rsolnp, snowfall, CNORode, deSolve",GPL-3,10.18129/B9.BIOC.MEIGOR,,,,Q63034458
Melissa,1.12.2000,"R (>= 3.5.0), BPRMeth, GenomicRanges",GPL-3,10.18129/B9.BIOC.MELISSA,Q830357,en,female given name,Q63034458
memes,1.4.2001,R (>= 4.1),MIT,10.18129/B9.BIOC.MEMES,Q2927074,en,concept that spreads from person to person via the Internet,Q49108
Mergeomics,1.24.0,R (>= 3.0.1),GPL (>= 2),10.18129/B9.BIOC.MERGEOMICS,Q31140977,en,scientific article,Q27016752
MeSHDbi,1.32.0,R (>= 3.0.1),Artistic-2.0,10.18129/B9.BIOC.MESHDBI,,,,Q14624826
meshes,1.22.0,R (>= 4.1.0),Artistic-2.0,10.18129/B9.BIOC.MESHES,Q6821276,en,extended play,Q14624826
meshr,2.2.2000,R (>= 4.1.0),Artistic-2.0,10.18129/B9.BIOC.MESHR,Q2578021,en,traditional event among the Uygur people in Xinjiang Uygur Autonomous Region in China – inscribed in the List of Intangible Heritage in Need of Urgent Safeguarding in 2010,Q14624826
MesKit,1.6.2000,R (>= 4.0.0),GPL-3,10.18129/B9.BIOC.MESKIT,Q32815,en,place of worship for followers of Islam,Q63034458
messina,1.32.0,"R (>= 3.1.0), survival (>= 2.37-4), methods",EPL (>= 1.0),10.18129/B9.BIOC.MESSINA,Q13666,en,Italian comune in Sicily,"
Q55633170"
Metab,1.30.0,"xcms, R (>= 3.0.1), svDialogs",GPL (>= 2),10.18129/B9.BIOC.METAB,Q1057,en,set of chemical reactions and pathways by which living organisms transform chemical substances,Q27016752
metabCombiner,1.6.2000,"R (>= 4.0), dplyr (>= 1.0)",GPL-3,10.18129/B9.BIOC.METABCOMBINER,,,,Q63034458
MetaboAnnotation,1.0.0,R (>= 4.0.0),Artistic-2.0,10.18129/B9.BIOC.METABOANNOTATION,,,,Q14624826
MetaboCoreUtils,1.4.2000,R (>= 4.0),Artistic-2.0,10.18129/B9.BIOC.METABOCOREUTILS,,,,Q14624826
metabolomicsWorkbenchR,1.6.2000,R (>= 4.0),GPL-3,10.18129/B9.BIOC.METABOLOMICSWORKBENCHR,,,,Q63034458
metabomxtr,1.30.0,"methods,Biobase",GPL-2,10.18129/B9.BIOC.METABOMXTR,Q30839511,en,scientific article,Q63002579
MetaboSignal,1.26.1,R(>= 3.3),GPL-3,10.18129/B9.BIOC.METABOSIGNAL,Q39067573,en,scientific article published on 22 December 2016,Q63034458
metaCCA,1.24.0,NA,MIT,10.18129/B9.BIOC.METACCA,Q37036051,en,scientific article published on 19 February 2016,Q49108
MetaCyto,1.18.0,R (>= 3.4),GPL (>= 2),10.18129/B9.BIOC.METACYTO,Q64939740,en,scientific article published in July 2018,Q27016752
metagene,2.28.0,"R (>= 3.5.0), R6 (>= 2.0), GenomicRanges, BiocParallel",Artistic-2.0,10.18129/B9.BIOC.METAGENE,Q862593,en,ancient Greek architect in Ephesos,Q14624826
metagene2,1.12.2000,"R (>= 4.0), R6 (>= 2.0), GenomicRanges, BiocParallel",Artistic-2.0,10.18129/B9.BIOC.METAGENE2,,,,Q14624826
metagenomeSeq,1.38.0,"R(>= 3.0), Biobase, limma, glmnet, methods, RColorBrewer",Artistic-2.0,10.18129/B9.BIOC.METAGENOMESEQ,,,,Q14624826
metahdep,1.54.0,"R (>= 2.10), methods",GPL-3,10.18129/B9.BIOC.METAHDEP,Q51806639,en,scientific article published on 30 July 2009,Q63034458
metaMS,1.32.0,"R (>= 4.0), methods, CAMERA, xcms (>= 1.35)",GPL (>= 2),10.18129/B9.BIOC.METAMS,Q42649669,en,scientific article,Q27016752
MetaNeighbor,1.16.0,R(>= 3.5),MIT,10.18129/B9.BIOC.METANEIGHBOR,,,,Q49108
metapod,1.4.2000,NA,GPL-3,10.18129/B9.BIOC.METAPOD,Q1646079,en,Pokémon species,Q63034458
metapone,1.2.2000,"R (>= 4.1.0), BiocParallel, fields, markdown, fdrtool, fgsea,
ggplot2, ggrepel",Artistic-2.0,10.18129/B9.BIOC.METAPONE,Q4044091,en,genus of insects,Q14624826
metaSeq,1.36.0,"R (>= 2.13.0), NOISeq, snow, Rcpp",Artistic-2.0,10.18129/B9.BIOC.METASEQ,Q156800,en,species of plant,Q14624826
metaseqR2,1.8.2002,"R (>= 4.0.0), DESeq2, limma, locfit, splines",GPL (>= 3),10.18129/B9.BIOC.METASEQR2,,,,Q27016754
metavizr,1.20.0,"R (>= 3.4), metagenomeSeq (>= 1.17.1), methods, data.table,
Biobase, digest",MIT,10.18129/B9.BIOC.METAVIZR,,,,Q49108
MetaVolcanoR,1.10.2000,R (>= 4.1.1),GPL-3,10.18129/B9.BIOC.METAVOLCANOR,,,,Q63034458
MetCirc,1.26.0,"R (>= 3.5), amap (>= 0.8), circlize (>= 0.3.9), scales (>=
0.3.0), shiny (>= 1.0.0), MSnbase (>= 2.15.3),",GPL (>= 3),10.18129/B9.BIOC.METCIRC,Q36344479,en,scientific article,Q27016754
methimpute,1.18.0,"R (>= 3.5.0), GenomicRanges, ggplot2",Artistic-2.0,10.18129/B9.BIOC.METHIMPUTE,Q55343750,en,scientific article published on 7 June 2018,Q14624826
methInheritSim,1.18.0,R (>= 3.5.0),Artistic-2.0,10.18129/B9.BIOC.METHINHERITSIM,,,,Q14624826
MethPed,1.24.0,"R (>= 3.0.0), Biobase",GPL-2,10.18129/B9.BIOC.METHPED,Q35831225,en,scientific article published on 9 July 2015,Q63002579
MethReg,1.6.2000,R (>= 4.0),GPL-3,10.18129/B9.BIOC.METHREG,,,,Q63034458
methrix,1.10.2000,"R (>= 3.6), data.table (>= 1.12.4), SummarizedExperiment",MIT,10.18129/B9.BIOC.METHRIX,Q104513733,en,scientific article published on 21 December 2020,Q49108
MethTargetedNGS,1.28.0,"R (>= 3.1.2), stringr, seqinr, gplots, Biostrings",Artistic-2.0,10.18129/B9.BIOC.METHTARGETEDNGS,,,,Q14624826
MethylAid,1.30.0,R (>= 3.4),GPL (>= 2),10.18129/B9.BIOC.METHYLAID,Q43643061,en,scientific article published on 21 August 2014,Q27016752
methylCC,1.10.2000,"R (>= 3.6), FlowSorted.Blood.450k",CC BY 4.0,10.18129/B9.BIOC.METHYLCC,Q91554069,en,scientific article published on 29 November 2019,Q20007257
methylclock,1.2.2001,"R (>= 4.1.0), methylclockData, devtools, quadprog",MIT,10.18129/B9.BIOC.METHYLCLOCK,Q99603723,en,scientific article published on 22 September 2020,Q49108
methylGSA,1.14.0,R (>= 3.5),GPL-2,10.18129/B9.BIOC.METHYLGSA,Q57801187,en,article,Q63002579
methylInheritance,1.20.0,R (>= 3.5),Artistic-2.0,10.18129/B9.BIOC.METHYLINHERITANCE,,,,Q14624826
methylKit,1.22.0,"R (>= 3.5.0), GenomicRanges (>= 1.18.1), methods",Artistic-2.0,10.18129/B9.BIOC.METHYLKIT,Q36378100,en,scientific article,Q14624826
MethylMix,2.26.0,R (>= 3.2.0),GPL-2,10.18129/B9.BIOC.METHYLMIX,Q41069610,en,scientific article,Q63002579
methylMnM,1.34.0,"R (>= 2.12.1), edgeR, statmod",GPL-3,10.18129/B9.BIOC.METHYLMNM,,,,Q63034458
methylPipe,1.30.0,"R (>= 3.5.0), methods, grDevices, graphics, stats, utils,
GenomicRanges, SummarizedExperiment (>= 0.2.0), Rsamtools",GPL (>= 2),10.18129/B9.BIOC.METHYLPIPE,Q1175198,en,chemical compound,Q27016752
methylscaper,1.4.2000,R (>= 4.1.0),GPL-2,10.18129/B9.BIOC.METHYLSCAPER,,,,Q63002579
MethylSeekR,1.36.0,"rtracklayer (>= 1.16.3), parallel (>= 2.15.1), mhsmm (>=
0.4.4)",GPL (>= 2),10.18129/B9.BIOC.METHYLSEEKR,,,,Q27016752
methylSig,1.8.2000,R (>= 3.6),GPL-3,10.18129/B9.BIOC.METHYLSIG,Q34103126,en,scientific article,Q63034458
methylumi,2.42.0,"Biobase, methods, R (>= 2.13), scales, reshape2, ggplot2,
matrixStats, FDb.InfiniumMethylation.hg19 (>= 2.2.0), minfi",GPL-2,10.18129/B9.BIOC.METHYLUMI,,,,Q63002579
MetID,1.14.0,R (>= 3.5),Artistic-2.0,10.18129/B9.BIOC.METID,Q10329185,en,family of crustaceans,Q14624826
MetNet,1.14.0,"R (>= 4.0), S4Vectors (>= 0.28.1), SummarizedExperiment (>=
1.20.0)",GPL (>= 3),10.18129/B9.BIOC.METNET,Q1546785,en,planned science mission to Mars featuring semi-hard landing strategy,Q27016754
mfa,1.18.0,R (>= 3.4.0),GPL (>= 2),10.18129/B9.BIOC.MFA,Q49133,en,"art museum in Boston, Massachusetts, United States",Q27016752
Mfuzz,2.56.0,"R (>= 2.5.0), Biobase (>= 2.5.5), e1071",GPL-2,10.18129/B9.BIOC.MFUZZ,Q31140225,en,scientific article,Q63002579
MGFM,1.30.0,"AnnotationDbi,annotate",GPL-3,10.18129/B9.BIOC.MGFM,Q30990398,en,scientific article,Q63034458
MGFR,1.22.0,R (>= 3.5),GPL-3,10.18129/B9.BIOC.MGFR,,,,Q63034458
mgsa,1.44.0,"R (>= 2.14.0), methods, gplots",Artistic-2.0,10.18129/B9.BIOC.MGSA,Q5014879,en,mammalian protein found in Homo sapiens,Q14624826
mia,1.4.2000,"R (>= 4.0), SummarizedExperiment, SingleCellExperiment,
TreeSummarizedExperiment (>= 1.99.3), MultiAssayExperiment",Artistic-2.0,10.18129/B9.BIOC.MIA,Q1700481,en,"art museum in Minneapolis, Minnesota",Q14624826
miaSim,1.2.2000,"SummarizedExperiment, TreeSummarizedExperiment",Artistic-2.0,10.18129/B9.BIOC.MIASIM,,,,Q14624826
miaViz,1.4.2000,"R (>= 4.0), SummarizedExperiment, TreeSummarizedExperiment,
mia (>= 0.99), ggplot2, ggraph (>= 2.0)",Artistic-2.0,10.18129/B9.BIOC.MIAVIZ,,,,Q14624826
MiChip,1.50.0,"R (>= 2.3.0), Biobase",GPL (>= 2),10.18129/B9.BIOC.MICHIP,Q1284782,en,"municipality in Ontario, Canada",Q27016752
microbiome,1.18.0,"R (>= 3.6.0), phyloseq, ggplot2",BSD_2_clause,10.18129/B9.BIOC.MICROBIOME,Q1330402,en,biome of microbes,Q18517294
microbiomeDASim,1.10.2000,R (>= 3.6.0),MIT,10.18129/B9.BIOC.MICROBIOMEDASIM,Q111150114,en,scientific article published on 26 February 2020,Q49108
microbiomeExplorer,1.6.2000,"shiny, magrittr, metagenomeSeq, Biobase",MIT,10.18129/B9.BIOC.MICROBIOMEEXPLORER,Q99603749,en,scientific article published on 22 September 2020,Q49108
microbiomeMarker,1.2.2002,R (>= 4.1.0),GPL-3,10.18129/B9.BIOC.MICROBIOMEMARKER,,,,Q63034458
MicrobiomeProfiler,1.2.2000,R (>= 4.1.0),GPL-2,10.18129/B9.BIOC.MICROBIOMEPROFILER,,,,Q63002579
MicrobiotaProcess,1.8.2001,R (>= 4.0.0),GPL (>= 3),10.18129/B9.BIOC.MICROBIOTAPROCESS,,,,Q27016754
microRNA,1.54.0,R (>= 2.10),Artistic-2.0,10.18129/B9.BIOC.MICRORNA,Q310899,en,"small non-coding RNA molecule (of ca. 22 nucleotides) found in plants, animals and some viruses, that functions in RNA silencing and post-transcriptional regulation of gene expression",Q14624826
midasHLA,1.4.2000,"R (>= 4.1), MultiAssayExperiment (>= 1.8.3)",MIT,10.18129/B9.BIOC.MIDASHLA,,,,Q49108
MIGSA,1.20.0,"R (>= 3.4), methods, BiocGenerics",GPL (>= 2),10.18129/B9.BIOC.MIGSA,Q70184617,,,Q27016752
miloR,1.4.2000,"R (>= 4.0.0), edgeR",GPL-3,10.18129/B9.BIOC.MILOR,Q33302,en,sign language of the deaf in the nation of France,Q63034458
mimager,1.20.0,Biobase,MIT,10.18129/B9.BIOC.MIMAGER,,,,Q49108
MIMOSA,1.34.0,"R (>= 3.0.2), MASS, plyr, reshape, Biobase, ggplot2",MIT,10.18129/B9.BIOC.MIMOSA,Q160110,en,"genus of plant, containing c400 species",Q49108
mina,1.4.2000,R (>= 4.0.0),GPL,10.18129/B9.BIOC.MINA,Q231156,en,Italian singer (1940-),Q7603
MineICA,1.36.0,"R (>= 2.10), methods, BiocGenerics (>= 0.13.8), Biobase, plyr,
ggplot2, scales, foreach, xtable, biomaRt, gtools, GOstats,
cluster, marray, mclust, RColorBrewer, colorspace, igraph,
Rgraphviz, graph, annotate, Hmisc, fastICA, JADE",GPL-2,10.18129/B9.BIOC.MINEICA,,,,Q63002579
minet,3.54.0,NA,Artistic-2.0,10.18129/B9.BIOC.MINET,Q3810744,en,French entomologist (born 1953),Q14624826
minfi,1.42.0,"methods, BiocGenerics (>= 0.15.3), GenomicRanges,
SummarizedExperiment (>= 1.1.6), Biostrings, bumphunter (>=
1.1.9)",Artistic-2.0,10.18129/B9.BIOC.MINFI,Q33593399,en,scientific article,Q14624826
MinimumDistance,1.40.0,"R (>= 3.5.0), VanillaICE (>= 1.47.1)",Artistic-2.0,10.18129/B9.BIOC.MINIMUMDISTANCE,,,,Q14624826
MiPP,1.68.0,R (>= 2.4),GPL (>= 2),10.18129/B9.BIOC.MIPP,Q18034382,en,protein-coding gene in the species Homo sapiens,Q27016752
miQC,1.4.2000,R (>= 3.5.0),BSD_3_clause,10.18129/B9.BIOC.MIQC,Q61933340,en,"nonprofit organization in São Luís, Brazil",Q18491847
MIRA,1.18.0,R (>= 3.5),GPL-3,10.18129/B9.BIOC.MIRA,Q466330,en,16th-century Hindu mystic poet and devotee of Krishna,Q63034458
MiRaGE,1.38.0,"R (>= 3.1.0), Biobase(>= 2.23.3)",GPL,10.18129/B9.BIOC.MIRAGE,Q41076,en,American singer and songwriter (born 1969),Q7603
miRBaseConverter,1.20.0,R (>= 3.4),GPL (>= 2),10.18129/B9.BIOC.MIRBASECONVERTER,Q60923455,,,Q27016752
miRcomp,1.26.0,"R (>= 3.2), Biobase (>= 2.22.0), miRcompData",GPL-3,10.18129/B9.BIOC.MIRCOMP,,,,Q63034458
mirIntegrator,1.26.0,R (>= 3.3),GPL (>= 3),10.18129/B9.BIOC.MIRINTEGRATOR,,,,Q27016754
miRLAB,1.26.0,NA,GPL (>= 2),10.18129/B9.BIOC.MIRLAB,Q35881688,en,scientific article published on 30 December 2015,Q27016752
miRmine,1.18.0,"R (>= 3.5.0), SummarizedExperiment",GPL (>= 3),10.18129/B9.BIOC.MIRMINE,Q38720256,en,scientific article published on 19 January 2017,Q27016754
miRNAmeConverter,1.24.0,miRBaseVersions.db,Artistic-2.0,10.18129/B9.BIOC.MIRNAMECONVERTER,Q39232236,en,scientific article published on 22 October 2016,Q14624826
miRNApath,1.56.0,"methods, R(>= 2.7.0)",LGPL-2.1,10.18129/B9.BIOC.MIRNAPATH,Q48076134,en,scientific article published on 5 October 2007,Q18534390
miRNAtap,1.30.0,"R (>= 3.3.0), AnnotationDbi",GPL-2,10.18129/B9.BIOC.MIRNATAP,,,,Q63002579
miRSM,1.14.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.MIRSM,,,,Q63034458
miRspongeR,2.0.0,R (>= 3.5.0),GPL-3,10.18129/B9.BIOC.MIRSPONGER,Q64991225,en,scientific article published on 10 May 2019,Q63034458
mirTarRnaSeq,1.4.2000,"R (>= 4.1.0), ggplot2",MIT,10.18129/B9.BIOC.MIRTARRNASEQ,Q112695086,en,scientific article published on 13 June 2022,Q49108
missMethyl,1.30.0,"R (>= 3.6.0), IlluminaHumanMethylation450kanno.ilmn12.hg19,
IlluminaHumanMethylationEPICanno.ilm10b4.hg19",GPL-2,10.18129/B9.BIOC.MISSMETHYL,Q30999865,en,scientific article,Q63002579
missRows,1.16.0,"R (>= 3.5), methods, ggplot2, grDevices, MultiAssayExperiment",Artistic-2.0,10.18129/B9.BIOC.MISSROWS,,,,Q14624826
mistyR,1.4.2000,R (>= 4.0),GPL-3,10.18129/B9.BIOC.MISTYR,Q90809496,en,web color,Q63034458
mitch,1.8.2000,R (>= 4.0),CC BY-SA 4.0,10.18129/B9.BIOC.MITCH,Q19819761,en,male given name,Q18199165
mitoClone2,1.2.2000,R (>= 4.1.0),GPL-3,10.18129/B9.BIOC.MITOCLONE2,,,,Q63034458
mixOmics,6.20.0,"R (>= 3.5.0), MASS, lattice, ggplot2",GPL (>= 2),10.18129/B9.BIOC.MIXOMICS,Q45846807,en,scientific article published on 3 November 2017,Q27016752
MLInterfaces,1.76.0,"R (>= 3.5), Rcpp, methods, BiocGenerics (>= 0.13.11), Biobase,
annotate, cluster",LGPL,10.18129/B9.BIOC.MLINTERFACES,,,,Q192897
MLP,1.44.0,NA,GPL-3,10.18129/B9.BIOC.MLP,Q5415,en,Animated television series based on the Hasbro franchise,Q63034458
MLSeq,2.14.0,"caret, ggplot2",GPL (>= 2),10.18129/B9.BIOC.MLSEQ,Q92142214,en,scientific article published on 29 April 2019,Q27016752
MMAPPR2,1.10.2000,R (>= 3.6.0),GPL-3,10.18129/B9.BIOC.MMAPPR2,,,,Q63034458
MMDiff2,1.24.0,"R (>= 3.5.0), Rsamtools, Biobase",Artistic-2.0,10.18129/B9.BIOC.MMDIFF2,,,,Q14624826
MMUPHin,1.10.2001,R (>= 3.6),MIT,10.18129/B9.BIOC.MMUPHIN,,,,Q49108
mnem,1.12.2000,R (>= 4.1),GPL-3,10.18129/B9.BIOC.MNEM,Q191062,en,any learning technique that aids information retention or retrieval (remembering) in the human memory,Q63034458
moanin,1.4.2000,"R (>= 4.0), SummarizedExperiment, topGO, stats",BSD 3-clause License,10.18129/B9.BIOC.MOANIN,Q24867252,en,Thoroughbred racehorse,Q18491847
MobilityTransformR,1.0.0,"MSnbase, R (>= 4.2)",Artistic-2.0,10.18129/B9.BIOC.MOBILITYTRANSFORMR,,,,Q14624826
MODA,1.22.0,R (>= 3.3),GPL (>= 2),10.18129/B9.BIOC.MODA,Q984697,en,Italian indie rock band,Q27016752
ModCon,1.4.2000,"data.table, parallel, utils, stats, R (>= 4.1)",GPL-3,10.18129/B9.BIOC.MODCON,Q3859778,,,Q63034458
Modstrings,1.12.2000,"R (>= 3.6), Biostrings (>= 2.51.5)",Artistic-2.0,10.18129/B9.BIOC.MODSTRINGS,,,,Q14624826
MOFA2,1.6.2000,R (>= 4.0),GPL (>= 2),10.18129/B9.BIOC.MOFA2,,,,Q27016752
MOGAMUN,1.6.2000,NA,GPL-3,10.18129/B9.BIOC.MOGAMUN,,,,Q63034458
mogsa,1.30.0,R (>= 3.4.0),GPL-2,10.18129/B9.BIOC.MOGSA,Q93051479,en,scientific article published on 26 June 2019,Q63002579
MOMA,1.8.2000,R (>= 4.0),GPL-3,10.18129/B9.BIOC.MOMA,Q188740,en,"art museum in Manhattan in New York City, New York, United States",Q63034458
monaLisa,1.2.2000,R (>= 4.1),GPL (>= 3),10.18129/B9.BIOC.MONALISA,Q88154291,en,given name,Q27016754
monocle,2.24.1,"R (>= 2.10.0), methods, Matrix (>= 1.2-6), Biobase, ggplot2
(>= 1.0.0), VGAM (>= 1.0-6), DDRTree (>= 0.1.4),",Artistic-2.0,10.18129/B9.BIOC.MONOCLE,Q12721,en,type of corrective lens,Q14624826
MoonlightR,1.22.0,"R (>= 3.5), doParallel, foreach",GPL (>= 3),10.18129/B9.BIOC.MOONLIGHTR,,,,Q27016754
mosaics,2.34.0,"R (>= 3.0.0), methods, graphics, Rcpp",GPL (>= 2),10.18129/B9.BIOC.MOSAICS,Q28453194,en,album by Graham Collier,Q27016752
mosbi,1.2.2000,R (>= 4.1),AGPL-3,10.18129/B9.BIOC.MOSBI,Q6915368,en,episode of How I Met Your Mother (S4 E20),Q27017232
MOSim,1.10.2000,R (>= 3.6),GPL-3,10.18129/B9.BIOC.MOSIM,Q726302,en,South African politician,Q63034458
Motif2Site,1.0.0,R (>= 4.1),GPL-2,10.18129/B9.BIOC.MOTIF2SITE,,,,Q63002579
motifbreakR,2.10.2000,"R (>= 4.1.0), grid, MotifDb",GPL-2,10.18129/B9.BIOC.MOTIFBREAKR,Q36300830,en,scientific article,Q63002579
motifcounter,1.20.0,R(>= 3.0),GPL-2,10.18129/B9.BIOC.MOTIFCOUNTER,,,,Q63002579
motifmatchr,1.18.0,R (>= 3.3),GPL-3,10.18129/B9.BIOC.MOTIFMATCHR,,,,Q63034458
motifStack,1.40.0,"R (>= 2.15.1), methods, grid",GPL (>= 2),10.18129/B9.BIOC.MOTIFSTACK,Q48316439,en,scientific article published in January 2018,Q27016752
MouseFM,1.6.2000,R (>= 4.0.0),GPL-3,10.18129/B9.BIOC.MOUSEFM,,,,Q63034458
MPFE,1.32.0,NA,GPL (>= 3),10.18129/B9.BIOC.MPFE,Q23667256,en,watercourse in Cameroon,Q27016754
mpra,1.18.0,"R (>= 3.5.0), methods, BiocGenerics, SummarizedExperiment,
limma",Artistic-2.0,10.18129/B9.BIOC.MPRA,Q18052584,en,protein-coding gene in the species Homo sapiens,Q14624826
MPRAnalyze,1.14.0,NA,GPL-3,10.18129/B9.BIOC.MPRANALYZE,Q93060625,en,scientific article published on 02 September 2019,Q63034458
MQmetrics,1.4.2000,NA,GPL-3,10.18129/B9.BIOC.MQMETRICS,,,,Q63034458
msa,1.28.0,"R (>= 3.3.0), methods, Biostrings (>= 2.40.0)",GPL (>= 2),10.18129/B9.BIOC.MSA,Q1541975,en,"Multiple system atrophy (MSA) is a neurodegenerative disorder characterized by autonomic failure (cardiovascular and/or urinary), parkinsonism, cerebellar impairment and corticospinal signs with a median survival of 6-9 years",Q27016752
MSA2dist,1.0.0,R (>= 4.1.0),MIT,10.18129/B9.BIOC.MSA2DIST,,,,Q49108
MsBackendMassbank,1.4.2000,"R (>= 4.0), Spectra (>= 1.5.17)",Artistic-2.0,10.18129/B9.BIOC.MSBACKENDMASSBANK,,,,Q14624826
MsBackendMgf,1.4.2000,"R (>= 4.0), Spectra (>= 1.5.14)",Artistic-2.0,10.18129/B9.BIOC.MSBACKENDMGF,,,,Q14624826
MsBackendMsp,1.0.0,"R (>= 4.1.0), Spectra (>= 1.5.14)",Artistic-2.0,10.18129/B9.BIOC.MSBACKENDMSP,,,,Q14624826
MsBackendRawFileReader,1.2.2000,"R (>= 4.1), methods, Spectra (>= 1.5.8)",GPL-3,10.18129/B9.BIOC.MSBACKENDRAWFILEREADER,,,,Q63034458
MsCoreUtils,1.8.2000,R (>= 3.6.0),Artistic-2.0,10.18129/B9.BIOC.MSCOREUTILS,,,,Q14624826
MsFeatures,1.4.2000,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.MSFEATURES,,,,Q14624826
msgbsR,1.20.0,"R (>= 3.5.0), GenomicRanges, methods",GPL-2,10.18129/B9.BIOC.MSGBSR,Q48042246,en,scientific article published in February 2018,Q63002579
msImpute,1.6.2000,R (>= 3.5.0),GPL (>= 2),10.18129/B9.BIOC.MSIMPUTE,,,,Q27016752
msmsEDA,1.34.0,"R (>= 3.0.1), MSnbase",GPL-2,10.18129/B9.BIOC.MSMSEDA,,,,Q63002579
msmsTests,1.34.0,"R (>= 3.0.1), MSnbase, msmsEDA",GPL-2,10.18129/B9.BIOC.MSMSTESTS,,,,Q63002579
MSnbase,2.22.0,"R (>= 3.5), methods, BiocGenerics (>= 0.7.1), Biobase (>=
2.15.2), mzR (>= 2.29.3), S4Vectors, ProtGenerics (>= 1.27.2)",Artistic-2.0,10.18129/B9.BIOC.MSNBASE,Q34082394,en,scientific article,Q14624826
MSnID,1.30.0,"R (>= 2.10), Rcpp",Artistic-2.0,10.18129/B9.BIOC.MSNID,,,,Q14624826
MSPrep,1.6.2000,R (>= 4.1.0),GPL-3,10.18129/B9.BIOC.MSPREP,Q30686321,en,scientific article,Q63034458
msPurity,1.22.0,Rcpp,GPL-3,10.18129/B9.BIOC.MSPURITY,Q36279588,en,scientific article,Q63034458
msqrob2,1.4.2000,"R (>= 4.1), QFeatures (>= 1.1.2)",Artistic-2.0,10.18129/B9.BIOC.MSQROB2,,,,Q14624826
MSstats,4.4.2001,R (>= 4.0),Artistic-2.0,10.18129/B9.BIOC.MSSTATS,Q113047099,en,R package,Q14624826
MSstatsConvert,1.6.2000,R (>= 4.0),Artistic-2.0,10.18129/B9.BIOC.MSSTATSCONVERT,,,,Q14624826
MSstatsLiP,1.2.2001,R (>= 4.1),Artistic-2.0,10.18129/B9.BIOC.MSSTATSLIP,,,,Q14624826
MSstatsLOBD,1.4.2000,R (>= 4.0),Artistic-2.0,10.18129/B9.BIOC.MSSTATSLOBD,,,,Q14624826
MSstatsPTM,1.6.2000,R (>= 4.0),Artistic-2.0,10.18129/B9.BIOC.MSSTATSPTM,,,,Q14624826
MSstatsQC,2.14.0,R (>= 3.5.0),Artistic License 2.0,10.18129/B9.BIOC.MSSTATSQC,Q38797025,en,scientific article published on 8 May 2017,Q14624826
MSstatsQCgui,1.16.0,NA,Artistic License 2.0,10.18129/B9.BIOC.MSSTATSQCGUI,,,,Q14624826
MSstatsSampleSize,1.10.2000,R (>= 3.6),Artistic-2.0,10.18129/B9.BIOC.MSSTATSSAMPLESIZE,,,,Q14624826
